列表,业务,云端标注,本地标注
chinese/dzdm/X5/X5-1-DZ/F001/F001_061.wav,telephone,拨打章继东电话,拨打章继东电话
chinese/dzdm/X5/X5-4-DZ/M001/M001_181.wav,wether,昨天有没有下雨,昨天有没有下雨
chinese/dzdm/X5/X5-7-DZ/M009/M009_188.wav,new,劳动节的新闻,劳动节的新闻
chinese/dzdm/X5/X5-6-DZ/M007/M007_014.wav,radio,调到五三五,调到五三五
chinese/dzdm/X5/X5-4-DZ/M002/M002_035.wav,meida,我想听音乐,我想听音乐
chinese/dzdm/X5/X5-5-DZ/M003/M003_141.wav,map,我想开车去安驰路和于田南路交叉路口,我想开车去安驰路和于田南路交叉路口
chinese/dzdm/X5/X5-3-DZ/F008/F008_184.wav,new,今天有什么头条新闻,今天有什么头条新闻
chinese/dzdm/X5/X5-6-DZ/M008/M008_005.wav,radio,调到am一千零七十一,调到am一千零七十一
chinese/dzdm/X5/X5-6-DZ/M007/M007_026.wav,meida,来一首邓紫棋的歌,来一首邓紫棋的歌
chinese/dzdm/X5/X5-6-DZ/M006/M006_208.wav,cmd,呼叫第六个号码,呼叫第六个号码
chinese/dzdm/X5/X5-1-DZ/F003/F003_198.wav,scheduled_destination,我想检查劳动节的日程,我想检查劳动节的日程
chinese/dzdm/X5/X5-1-DZ/F002/F002_160.wav,traffic,上庄路上向东方向堵吗,上庄路上向东方向堵吗
chinese/dzdm/X5/X5-3-DZ/F008/F008_033.wav,meida,我想听雷佳的歌,我想听雷佳的歌
chinese/dzdm/X5/X5-7-DZ/M010/M010_082.wav,map,导航到东街路口,导航到东街路口
chinese/dzdm/X5/X5-4-DZ/M001/M001_036.wav,meida,请帮我打开媒体源,请帮我打开媒体源
chinese/dzdm/X5/X5-6-DZ/M008/M008_103.wav,map,导航到龙洞路口,导航到龙洞路口
chinese/dzdm/X5/X5-5-DZ/M005/M005_066.wav,telephone,我想给总监打电话,我想给总监打电话
chinese/dzdm/X5/X5-3-DZ/F007/F007_033.wav,meida,来一首王菲的歌,来一首王菲的歌
chinese/dzdm/X5/X5-6-DZ/M008/M008_154.wav,map,导航到指媚美甲,导航到指媚美甲
chinese/dzdm/X5/X5-5-DZ/M004/M004_041.wav,meida,播放歌曲南山南,播放歌曲南山南
chinese/dzdm/X5/X5-4-DZ/F010/F010_006.wav,radio,转到广播频道fm九一六,转到广播频道fm九一六
chinese/dzdm/X5/X5-4-DZ/M002/M002_048.wav,telephone,给李鹏维去电话,给李鹏维去电话
chinese/dzdm/X5/X5-4-DZ/M001/M001_016.wav,radio,听电台,听电台
chinese/dzdm/X5/X5-5-DZ/M005/M005_070.wav,telephone,我想给王婕打电话,我想给王婕打电话
chinese/dzdm/X5/X5-1-DZ/F001/F001_153.wav,map,导航到振业路九十号,导航到振业路九十号
chinese/dzdm/X5/X5-7-DZ/M009/M009_044.wav,telephone,给湖南佳程酒店打电话,给湖南佳程酒店打电话
chinese/dzdm/X5/X5-1-DZ/F001/F001_127.wav,map,我想到中国石化加油站陕西南路,我想到中国石化加油站陕西南路
chinese/dzdm/X5/X5-2-DZ/F004/F004_017.wav,radio,播放广播到fm九幺六,播放广播到fm九幺六
chinese/dzdm/X5/X5-7-DZ/M009/M009_025.wav,meida,我想听专辑出塞曲,我想听专辑出塞曲
chinese/dzdm/X5/X5-6-DZ/M006/M006_132.wav,map,我想去青年路上的银行,我想去青年路上的银行
chinese/dzdm/X5/X5-6-DZ/M008/M008_165.wav,traffic,长春市二道区自由大路和临河街交口的路况,长春市二道区自由大路和临河街交口的路况
chinese/dzdm/X5/X5-3-DZ/F009/F009_136.wav,map,周围的白云大厦万达广场a座,周围的白云大厦万达广场a座
chinese/dzdm/X5/X5-5-DZ/M004/M004_015.wav,radio,播放广播到fm九幺点幺,播放广播到fm九幺点幺
chinese/dzdm/X5/X5-1-DZ/F002/F002_159.wav,traffic,人民路上路况好不好,人民路上路况好不好
chinese/dzdm/X5/X5-3-DZ/F008/F008_201.wav,help,有哪些收音机的命令,有哪些收音机的命令
chinese/dzdm/X5/X5-1-DZ/F001/F001_167.wav,wether,查一下合肥的天气,查一下合肥的天气
chinese/dzdm/X5/X5-2-DZ/F005/F005_203.wav,help,你会干什么,你会干什么
chinese/dzdm/X5/X5-3-DZ/F007/F007_078.wav,telephone,我要显示所有通话,我要显示所有通话
chinese/dzdm/X5/X5-2-DZ/F004/F004_139.wav,map,我要找目的地附近的书店,我要找目的地附近的书店
chinese/dzdm/X5/X5-3-DZ/F007/F007_067.wav,,哦请呼叫黄炳明,哦请呼叫黄炳明
chinese/dzdm/X5/X5-7-DZ/M010/M010_135.wav,map,导航到牛心屯五街与熊家岗路路口,导航到牛心屯五街与熊家岗路路口
chinese/dzdm/X5/X5-6-DZ/M007/M007_104.wav,map,导航到六号路和一号路路口,导航到六号路和一号路路口
chinese/dzdm/X5/X5-5-DZ/M005/M005_039.wav,meida,打开专辑所以变快乐,打开专辑所以变快乐
chinese/dzdm/X5/X5-4-DZ/M002/M002_017.wav,radio,am五百七十六,am五百七十六
chinese/dzdm/X5/X5-2-DZ/F004/F004_075.wav,telephone,拨打鑫华通的幺三三号码,拨打鑫华通的幺三三号码
chinese/dzdm/X5/X5-6-DZ/M006/M006_082.wav,telephone,你可以呼叫润众徐总吗,你可以呼叫润众徐总吗
chinese/dzdm/X5/X5-6-DZ/M008/M008_148.wav,map,导航到张家屯,导航到张家屯
chinese/dzdm/X5/X5-5-DZ/M004/M004_018.wav,radio,播放广播到fm九幺三,播放广播到fm九幺三
chinese/dzdm/X5/X5-5-DZ/M004/M004_214.wav,,打开在线广播吴晓波频道,打开在线广播吴晓波频道
chinese/dzdm/X5/X5-2-DZ/F005/F005_097.wav,map,给我显示融侨天骏的健身馆,给我显示融侨天骏的健身馆
chinese/dzdm/X5/X5-5-DZ/M003/M003_085.wav,map,我要到安辰路与a五高速公路十字路口,我要到安辰路与a五高速公路十字路口
chinese/dzdm/X5/X5-1-DZ/F001/F001_080.wav,telephone,给立彬去电话,给立彬去电话
chinese/dzdm/X5/X5-5-DZ/M004/M004_081.wav,telephone,帮我重拨回去,帮我重拨回去
chinese/dzdm/X5/X5-3-DZ/F009/F009_111.wav,map,导航到李青街和中华路路口,导航到李青街和中华路路口
chinese/dzdm/X5/X5-1-DZ/F003/F003_156.wav,traffic,城中路上向西方向堵车吗,城中路上向西方向堵车吗
chinese/dzdm/X5/X5-5-DZ/M005/M005_196.wav,scheduled_destination,我想检查这周六的日程,我想检查这周六的日程
chinese/dzdm/X5/X5-6-DZ/M006/M006_081.wav,telephone,你可以呼叫谢小东吗,你可以呼叫谢小东吗
chinese/dzdm/X5/X5-1-DZ/F003/F003_020.wav,radio,播放fm九十一点七,播放fm九十一点七
chinese/dzdm/X5/X5-4-DZ/M001/M001_202.wav,help,如何使用导航,如何使用导航
chinese/dzdm/X5/X5-6-DZ/M007/M007_147.wav,map,导航到最近的大型超市,导航到最近的大型超市
chinese/dzdm/X5/X5-6-DZ/M006/M006_032.wav,meida,来首蜀绣,来首蜀绣
chinese/dzdm/X5/X5-1-DZ/F003/F003_011.wav,radio,播放am六二一,播放am六二一
chinese/dzdm/X5/X5-1-DZ/F002/F002_063.wav,telephone,给陈柳燕回个电话,给陈柳燕回个电话
chinese/dzdm/X5/X5-6-DZ/M008/M008_079.wav,telephone,拨打广州昊银凯莱酒店的电话,拨打广州昊银凯莱酒店的电话
chinese/dzdm/X5/X5-6-DZ/M008/M008_219.wav,,我想听郭德纲于谦相声全集,我想听郭德纲于谦相声全集
chinese/dzdm/X5/X5-1-DZ/F002/F002_152.wav,map,我要到鞍山支路与鞍山路交叉口,我要到鞍山支路与鞍山路交叉口
chinese/dzdm/X5/X5-5-DZ/M004/M004_218.wav,,我想听在线广播沥川往事,我想听在线广播沥川往事
chinese/dzdm/X5/X5-7-DZ/M009/M009_182.wav,new,二零一三年四月十四号的新闻,二零一三年四月十四号的新闻
chinese/dzdm/X5/X5-6-DZ/M007/M007_190.wav,new,给我读今天最新的头条,给我读今天最新的头条
chinese/dzdm/X5/X5-1-DZ/F003/F003_006.wav,radio,fm八七点一,fm八七点一
chinese/dzdm/X5/X5-5-DZ/M005/M005_205.wav,cmd,选择第五个,选择第五个
chinese/dzdm/X5/X5-6-DZ/M006/M006_086.wav,map,回公司,回公司
chinese/dzdm/X5/X5-4-DZ/M001/M001_210.wav,,打开电台,打开电台
chinese/dzdm/X5/X5-6-DZ/M006/M006_116.wav,map,沿金寨路上的邮局,沿金寨路上的邮局
chinese/dzdm/X5/X5-2-DZ/F004/F004_212.wav,,打开在线广播非常不着调,打开在线广播非常不着调
chinese/dzdm/X5/X5-5-DZ/M005/M005_181.wav,wether,有太阳吗,有太阳吗
chinese/dzdm/X5/X5-5-DZ/M004/M004_138.wav,map,我要找目的地附近的糕点房,我要找目的地附近的糕点房
chinese/dzdm/X5/X5-3-DZ/F008/F008_117.wav,map,导航到佛山市禅城区教育局,导航到佛山市禅城区教育局
