Â¼Òô,ÒµÎñ,Â¼Òô,±ê×¢
28,help,english\dzdm\X5\X5-11-DZ\F011\F011_028.wav,how to use the system
29,help,english\dzdm\X5\X5-11-DZ\F011\F011_029.wav,how to use the traffic
30,help,english\dzdm\X5\X5-11-DZ\F011\F011_030.wav,how to use the agenda
31,help,english\dzdm\X5\X5-11-DZ\F011\F011_031.wav,how to use the voice
32,help,english\dzdm\X5\X5-11-DZ\F011\F011_032.wav,how to use the function
33,help,english\dzdm\X5\X5-11-DZ\F011\F011_033.wav,instructions for media
34,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_034.wav,return to the main interface
35,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_035.wav,back to the main interface
36,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_036.wav,cancel
37,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_037.wav,the first
38,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_038.wav,select the first
39,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_039.wav,choose the first
40,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_040.wav,the second
41,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_041.wav,the third
42,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_042.wav,the fourth
43,cmd,english\dzdm\X5\X5-11-DZ\F011\F011_043.wav,the fifth
44,wether,english\dzdm\X5\X5-11-DZ\F011\F011_044.wav,what s the weather like today
45,wether,english\dzdm\X5\X5-11-DZ\F011\F011_045.wav,what s the weather like tomorrow
46,wether,english\dzdm\X5\X5-11-DZ\F011\F011_046.wav,what s the weather like the day after tomorrow
47,wether,english\dzdm\X5\X5-11-DZ\F011\F011_047.wav,what s the weather like three days from now
48,wether,english\dzdm\X5\X5-11-DZ\F011\F011_048.wav,what s the weather like this week
49,wether,english\dzdm\X5\X5-11-DZ\F011\F011_049.wav,what s the weather like on december second
50,wether,english\dzdm\X5\X5-11-DZ\F011\F011_050.wav,what s the weather like on november fourth
51,wether,english\dzdm\X5\X5-11-DZ\F011\F011_051.wav,what s the weather like on october seventh
52,wether,english\dzdm\X5\X5-11-DZ\F011\F011_052.wav,what s the weather like on september fifteenth
53,wether,english\dzdm\X5\X5-11-DZ\F011\F011_053.wav,what s the weather like on august twentieth
54,wether,english\dzdm\X5\X5-11-DZ\F011\F011_054.wav,what s the weather like on thursday
55,wether,english\dzdm\X5\X5-11-DZ\F011\F011_055.wav,what s the weather like on friday
56,wether,english\dzdm\X5\X5-11-DZ\F011\F011_056.wav,what s the weather like on saturday
57,wether,english\dzdm\X5\X5-11-DZ\F011\F011_057.wav,what s the weather like on sunday
58,wether,english\dzdm\X5\X5-11-DZ\F011\F011_058.wav,what s the weather like on monday
59,wether,english\dzdm\X5\X5-11-DZ\F011\F011_059.wav,will it rain christmas
60,wether,english\dzdm\X5\X5-11-DZ\F011\F011_060.wav,will it rain spring festival
61,wether,english\dzdm\X5\X5-11-DZ\F011\F011_061.wav,will it rain new year's day
62,wether,english\dzdm\X5\X5-11-DZ\F011\F011_062.wav,will it rain women's day
63,radio,english\dzdm\X5\X5-11-DZ\F011\F011_063.wav,radio
64,radio,english\dzdm\X5\X5-11-DZ\F011\F011_064.wav,turn on the tuner
65,radio,english\dzdm\X5\X5-11-DZ\F011\F011_065.wav,launch am
66,radio,english\dzdm\X5\X5-11-DZ\F011\F011_066.wav,launch fm
67,radio,english\dzdm\X5\X5-11-DZ\F011\F011_067.wav,i want to listen to the am
68,radio,english\dzdm\X5\X5-11-DZ\F011\F011_068.wav,listen to the am
69,radio,english\dzdm\X5\X5-11-DZ\F011\F011_069.wav,i want to listen to the fm
70,radio,english\dzdm\X5\X5-11-DZ\F011\F011_070.wav,listen to the fm
71,radio,english\dzdm\X5\X5-11-DZ\F011\F011_071.wav,am
72,radio,english\dzdm\X5\X5-11-DZ\F011\F011_072.wav,fm
73,radio,english\dzdm\X5\X5-11-DZ\F011\F011_073.wav,i want to listen to the radio
74,radio,english\dzdm\X5\X5-11-DZ\F011\F011_074.wav,i would like to listen to the radio
75,radio,english\dzdm\X5\X5-11-DZ\F011\F011_075.wav,i want to hear the radio
76,radio,english\dzdm\X5\X5-11-DZ\F011\F011_076.wav,play the radio
77,radio,english\dzdm\X5\X5-11-DZ\F011\F011_077.wav,turn on the radio
78,radio,english\dzdm\X5\X5-11-DZ\F011\F011_078.wav,i want to hear fm eight eight zero
79,radio,english\dzdm\X5\X5-11-DZ\F011\F011_079.wav,i want to hear eight eight zero fm
80,radio,english\dzdm\X5\X5-11-DZ\F011\F011_080.wav,i want to hear fm eight eight zero megahertz
81,radio,english\dzdm\X5\X5-11-DZ\F011\F011_081.wav,please switch to amone zero three eight
82,radio,english\dzdm\X5\X5-11-DZ\F011\F011_082.wav,please switch to one zero three eight am
83,radio,english\dzdm\X5\X5-11-DZ\F011\F011_083.wav,i want to hear the radio station am nine hundred and eighteen
84,meida,english\dzdm\X5\X5-11-DZ\F011\F011_084.wav,help me open usb media source please
85,meida,english\dzdm\X5\X5-11-DZ\F011\F011_085.wav,help me open usb media source
86,meida,english\dzdm\X5\X5-11-DZ\F011\F011_086.wav,open usb media source please
87,meida,english\dzdm\X5\X5-11-DZ\F011\F011_087.wav,open usb media source
88,meida,english\dzdm\X5\X5-11-DZ\F011\F011_088.wav,help me open usb audio source please
89,meida,english\dzdm\X5\X5-11-DZ\F011\F011_089.wav,help me open usb audio source
90,meida,english\dzdm\X5\X5-11-DZ\F011\F011_090.wav,open usb audio source please
91,meida,english\dzdm\X5\X5-11-DZ\F011\F011_091.wav,open usb audio source
92,meida,english\dzdm\X5\X5-11-DZ\F011\F011_092.wav,help me open bt audio media source please
93,meida,english\dzdm\X5\X5-11-DZ\F011\F011_093.wav,help me open bt audio media source
94,meida,english\dzdm\X5\X5-11-DZ\F011\F011_094.wav,open bt audio media source please
95,meida,english\dzdm\X5\X5-11-DZ\F011\F011_095.wav,open bt audio media source
96,meida,english\dzdm\X5\X5-11-DZ\F011\F011_100.wav,help me open ipod media source please
97,meida,english\dzdm\X5\X5-11-DZ\F011\F011_101.wav,help me open ipod media source
98,meida,english\dzdm\X5\X5-11-DZ\F011\F011_102.wav,open ipod media source please
99,meida,english\dzdm\X5\X5-11-DZ\F011\F011_103.wav,open ipod media source
100,meida,english\dzdm\X5\X5-11-DZ\F011\F011_104.wav,help me open ipod audio source please
101,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_105.wav,i want to make a phone call
102,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_106.wav,i want to make a call
103,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_107.wav,help me to make a phone call
104,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_108.wav,help me to make a call
105,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_109.wav,make a phone call
106,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_110.wav,make a call
107,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_111.wav,call
108,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_112.wav,dial
109,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_113.wav,phone
110,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_114.wav,telephone
111,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_115.wav,call windy
112,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_116.wav,call ana
113,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_117.wav,call andy
114,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_118.wav,call angel lee
115,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_119.wav,call annie
116,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_120.wav,call apple
117,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_121.wav,call my mom
118,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_122.wav,call yang jingzhe
119,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_123.wav,call jingzhe
120,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_124.wav,dial brandy's number
121,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_125.wav,dial brenda's number
122,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_126.wav,dial brother's number
123,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_127.wav,dial bruce's number
124,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_128.wav,dial bruno's number
125,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_129.wav,dial bruno cell's number
126,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_130.wav,i want to give buddy a call
127,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_131.wav,i want to give candy a call
128,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_132.wav,i want to give carolyn smith a call
129,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_133.wav,i want to give cctv a call
130,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_134.wav,i want to give chase a call
131,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_135.wav,i want to give cindy a call
132,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_136.wav,i would like to give clover a call
133,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_137.wav,i would like to give daddy a call
134,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_138.wav,i would like to give danny a call
135,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_139.wav,i would like to give david a call
136,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_140.wav,i would like to give dear a call
137,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_141.wav,i would like to give doge a call
138,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_142.wav,please call emily
139,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_143.wav,please call ems
140,telephone,english\dzdm\X5\X5-11-DZ\F011\F011_144.wav,please call fabio
141,map,english\dzdm\X5\X5-11-DZ\F011\F011_145.wav,navigate
142,map,english\dzdm\X5\X5-11-DZ\F011\F011_146.wav,open the navigation
143,map,english\dzdm\X5\X5-11-DZ\F011\F011_147.wav,open the map
144,map,english\dzdm\X5\X5-11-DZ\F011\F011_148.wav,navigation
145,map,english\dzdm\X5\X5-11-DZ\F011\F011_149.wav,start the navigation
146,map,english\dzdm\X5\X5-11-DZ\F011\F011_150.wav,open navigation
147,map,english\dzdm\X5\X5-11-DZ\F011\F011_151.wav,start the route guidance
148,map,english\dzdm\X5\X5-11-DZ\F011\F011_152.wav,start route guidance
149,map,english\dzdm\X5\X5-11-DZ\F011\F011_153.wav,open the route guidance
150,map,english\dzdm\X5\X5-11-DZ\F011\F011_154.wav,open route guidance
151,map,english\dzdm\X5\X5-11-DZ\F011\F011_155.wav,i want to navigate
152,map,english\dzdm\X5\X5-11-DZ\F011\F011_156.wav,help me navigate
153,map,english\dzdm\X5\X5-11-DZ\F011\F011_157.wav,route guidance
154,map,english\dzdm\X5\X5-11-DZ\F011\F011_158.wav,start gps
155,map,english\dzdm\X5\X5-11-DZ\F011\F011_159.wav,open gps
156,map,english\dzdm\X5\X5-11-DZ\F011\F011_161.wav,please navigate for me
157,map,english\dzdm\X5\X5-11-DZ\F011\F011_162.wav,start to navigate
158,map,english\dzdm\X5\X5-11-DZ\F011\F011_163.wav,start to guide
159,map,english\dzdm\X5\X5-11-DZ\F011\F011_164.wav,start navigation
160,map,english\dzdm\X5\X5-11-DZ\F011\F011_165.wav,navigate to great wall lenovo computer
161,map,english\dzdm\X5\X5-11-DZ\F011\F011_166.wav,navigate to great wall
162,map,english\dzdm\X5\X5-11-DZ\F011\F011_167.wav,navigate to the palace museum
163,map,english\dzdm\X5\X5-11-DZ\F011\F011_168.wav,navigate to shanghai
164,map,english\dzdm\X5\X5-11-DZ\F011\F011_169.wav,navigate to beijing
165,map,english\dzdm\X5\X5-11-DZ\F011\F011_170.wav,navigate to guangzhou
166,map,english\dzdm\X5\X5-11-DZ\F011\F011_171.wav,tianjin
167,map,english\dzdm\X5\X5-11-DZ\F011\F011_172.wav,shenzhen
168,map,english\dzdm\X5\X5-11-DZ\F011\F011_173.wav,chongqing
169,map,english\dzdm\X5\X5-11-DZ\F011\F011_174.wav,suzhou
170,map,english\dzdm\X5\X5-11-DZ\F011\F011_175.wav,chengdu
171,map,english\dzdm\X5\X5-11-DZ\F011\F011_176.wav,wuhan
172,map,english\dzdm\X5\X5-11-DZ\F011\F011_177.wav,take me to hangzhou
173,map,english\dzdm\X5\X5-11-DZ\F011\F011_178.wav,take me to shenyang
174,map,english\dzdm\X5\X5-11-DZ\F011\F011_179.wav,take me to nanjing
175,map,english\dzdm\X5\X5-11-DZ\F011\F011_180.wav,take me to peking
176,map,english\dzdm\X5\X5-11-DZ\F011\F011_181.wav,take me to peking university southwest gate
177,map,english\dzdm\X5\X5-11-DZ\F011\F011_182.wav,take me to tsinghua university parking lot
178,map,english\dzdm\X5\X5-11-DZ\F011\F011_183.wav,i want to go to people's square southwest gate
179,map,english\dzdm\X5\X5-11-DZ\F011\F011_184.wav,i want to go to block d wanda plaza
180,map,english\dzdm\X5\X5-11-DZ\F011\F011_185.wav,i want to go to east area international post bureau
181,map,english\dzdm\X5\X5-11-DZ\F011\F011_186.wav,i want to go to beijing friendship store parking lot
182,map,english\dzdm\X5\X5-11-DZ\F011\F011_187.wav,i want to go to site tech plaza south gate
183,map,english\dzdm\X5\X5-11-DZ\F011\F011_188.wav,i want to go to site tech hotel
184,map,english\dzdm\X5\X5-11-DZ\F011\F011_189.wav,navigate to the youth road
185,map,english\dzdm\X5\X5-11-DZ\F011\F011_190.wav,go to youth road
186,map,english\dzdm\X5\X5-11-DZ\F011\F011_191.wav,how do i go to norinco international plaza
187,map,english\dzdm\X5\X5-11-DZ\F011\F011_192.wav,how do i go to embassy of the united states in china
188,map,english\dzdm\X5\X5-11-DZ\F011\F011_193.wav,how do i go to embassy of the united states in china visa office
189,map,english\dzdm\X5\X5-11-DZ\F011\F011_194.wav,how do i go to national stadium
190,map,english\dzdm\X5\X5-11-DZ\F011\F011_195.wav,how do i go to bank of china information center northeast gate
191,map,english\dzdm\X5\X5-11-DZ\F011\F011_196.wav,how do i go to first people's hospital affiliated to shanghai jiao tong university
192,map,english\dzdm\X5\X5-11-DZ\F011\F011_197.wav,how do i get to nanjing university parking lot entrance and exit
193,map,english\dzdm\X5\X5-11-DZ\F011\F011_198.wav,how do i get to young lord town southwest gate
194,map,english\dzdm\X5\X5-11-DZ\F011\F011_199.wav,how do i get to oriental pearl
195,map,english\dzdm\X5\X5-11-DZ\F011\F011_200.wav,how do i get to shanghai volkswagen technology center east gate
196,map,english\dzdm\X5\X5-11-DZ\F011\F011_201.wav,how do i get to zhejiang university west gate
197,map,english\dzdm\X5\X5-11-DZ\F011\F011_202.wav,how do i get to university of science and technology of china
198,map,english\dzdm\X5\X5-11-DZ\F011\F011_203.wav,take me to number nine seafood parking lot
199,map,english\dzdm\X5\X5-11-DZ\F011\F011_204.wav,take me to happy home decoration
200,map,english\dzdm\X5\X5-11-DZ\F011\F011_205.wav,take me to tianjin number five high school northeast gate two
201,map,english\dzdm\X5\X5-11-DZ\F011\F011_206.wav,take me to china everbright bank twenty four hour self service bank east street
202,map,english\dzdm\X5\X5-11-DZ\F011\F011_207.wav,take me to spring garden
203,map,english\dzdm\X5\X5-11-DZ\F011\F011_208.wav,take me to phoenix western restaurant
204,map,english\dzdm\X5\X5-11-DZ\F011\F011_209.wav,help me navigate to hilton hotel group
205,map,english\dzdm\X5\X5-11-DZ\F011\F011_211.wav,help me navigate to shanghai huangpu people's court
206,map,english\dzdm\X5\X5-11-DZ\F011\F011_212.wav,help me navigate to the supreme people's court judge international communication center
207,map,english\dzdm\X5\X5-11-DZ\F011\F011_213.wav,help me navigate to national express huangshan scenic area station
208,map,english\dzdm\X5\X5-11-DZ\F011\F011_214.wav,help me navigate to wuhan university south gate two
209,scheduled_destination,english\dzdm\X5\X5-11-DZ\F012\F012_001.wav,i need to check my agenda tomorrow
210,scheduled_destination,english\dzdm\X5\X5-11-DZ\F012\F012_002.wav,i need to check my schedule the day after tomorrow
211,scheduled_destination,english\dzdm\X5\X5-11-DZ\F012\F012_003.wav,i need to check agenda next week
212,scheduled_destination,english\dzdm\X5\X5-11-DZ\F012\F012_004.wav,i need to check schedule this week
213,scheduled_destination,english\dzdm\X5\X5-11-DZ\F012\F012_005.wav,i want to check my agenda on labor day
214,scheduled_destination,english\dzdm\X5\X5-11-DZ\F012\F012_006.wav,i want to check my schedule on christmas
215,news,english\dzdm\X5\X5-11-DZ\F012\F012_007.wav,i want to read some politics news
216,news,english\dzdm\X5\X5-11-DZ\F012\F012_008.wav,i want to read some entertainment news
217,news,english\dzdm\X5\X5-11-DZ\F012\F012_009.wav,i want to read some technology news
218,news,english\dzdm\X5\X5-11-DZ\F012\F012_010.wav,i want to read some military news
219,news,english\dzdm\X5\X5-11-DZ\F012\F012_011.wav,i want to view some comprehensive news
220,news,english\dzdm\X5\X5-11-DZ\F012\F012_012.wav,i want to view some national news
221,news,english\dzdm\X5\X5-11-DZ\F012\F012_013.wav,i want to view some international news
222,news,english\dzdm\X5\X5-11-DZ\F012\F012_014.wav,i want to view some sports news
223,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_015.wav,is there a traffic jam on number one road
224,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_016.wav,is there a traffic jam on shenzhen street
225,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_017.wav,is there a traffic jam on chongqing south street
226,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_018.wav,is there a traffic jam on chongqing third ring expressway
227,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_019.wav,is there a traffic jam on suzhou bridge
228,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_020.wav,is there a traffic jam on chengdu avenue
229,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_021.wav,is there a traffic jam on third middle alley
230,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_022.wav,is there a traffic jam on tianjin north road east first alley
231,traffic,english\dzdm\X5\X5-11-DZ\F012\F012_023.wav,is there a traffic jam on suzhou north alley
232,help,english\dzdm\X5\X5-11-DZ\F012\F012_024.wav,instructions for telephone
233,help,english\dzdm\X5\X5-11-DZ\F012\F012_025.wav,instructions for navigation
234,help,english\dzdm\X5\X5-11-DZ\F012\F012_026.wav,instructions for radio
235,help,english\dzdm\X5\X5-11-DZ\F012\F012_027.wav,instructions for music
236,help,english\dzdm\X5\X5-11-DZ\F012\F012_028.wav,instructions for system
237,help,english\dzdm\X5\X5-11-DZ\F012\F012_029.wav,instructions for traffic
238,help,english\dzdm\X5\X5-11-DZ\F012\F012_030.wav,instructions for agenda
239,help,english\dzdm\X5\X5-11-DZ\F012\F012_031.wav,instructions for voice
240,help,english\dzdm\X5\X5-11-DZ\F012\F012_032.wav,instructions about function
241,help,english\dzdm\X5\X5-11-DZ\F012\F012_033.wav,instructions about media
242,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_034.wav,the sixth
243,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_035.wav,the last
244,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_036.wav,return
245,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_037.wav,close
246,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_038.wav,select the first one
247,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_039.wav,select the second one
248,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_040.wav,select the third one
249,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_041.wav,select the fourth one
250,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_042.wav,select the fifth one
251,cmd,english\dzdm\X5\X5-11-DZ\F012\F012_043.wav,select the sixth one
252,wether,english\dzdm\X5\X5-11-DZ\F012\F012_044.wav,will it rain december second
253,wether,english\dzdm\X5\X5-11-DZ\F012\F012_045.wav,will it snow november fourth
254,wether,english\dzdm\X5\X5-11-DZ\F012\F012_046.wav,will it snow october seventh
255,wether,english\dzdm\X5\X5-11-DZ\F012\F012_047.wav,will it snow september fifteenth
256,wether,english\dzdm\X5\X5-11-DZ\F012\F012_048.wav,will it snow august twentieth
257,wether,english\dzdm\X5\X5-11-DZ\F012\F012_049.wav,will it snow july twenty fifth
258,wether,english\dzdm\X5\X5-11-DZ\F012\F012_050.wav,what s the forecast for next week
259,wether,english\dzdm\X5\X5-11-DZ\F012\F012_051.wav,what s the temperature
260,wether,english\dzdm\X5\X5-11-DZ\F012\F012_052.wav,how is the weather in the next few days
261,wether,english\dzdm\X5\X5-11-DZ\F012\F012_053.wav,will there be rain or snow next week
262,wether,english\dzdm\X5\X5-11-DZ\F012\F012_054.wav,how should i dress on june thirteenth
263,wether,english\dzdm\X5\X5-11-DZ\F012\F012_055.wav,how should i dress on may fourteenth
264,wether,english\dzdm\X5\X5-11-DZ\F012\F012_056.wav,how should i dress on april twenty sixth
265,wether,english\dzdm\X5\X5-11-DZ\F012\F012_057.wav,how should i dress on march eighteenth
266,wether,english\dzdm\X5\X5-11-DZ\F012\F012_058.wav,how should i dress on february eleventh
267,wether,english\dzdm\X5\X5-11-DZ\F012\F012_059.wav,what s the weather like in the next two four hours
268,wether,english\dzdm\X5\X5-11-DZ\F012\F012_060.wav,how's the weather in the next two four hours
269,wether,english\dzdm\X5\X5-11-DZ\F012\F012_061.wav,excuse me what s the weather like in shenzhen now
270,wether,english\dzdm\X5\X5-11-DZ\F012\F012_062.wav,excuse me what s the weather like in tianjin now
271,radio,english\dzdm\X5\X5-11-DZ\F012\F012_063.wav,i want to hear the radio station am nine hundred and thirty six
272,radio,english\dzdm\X5\X5-11-DZ\F012\F012_064.wav,i want to hear am nine hundred and forty five
273,radio,english\dzdm\X5\X5-11-DZ\F012\F012_065.wav,i want to hear am nine hundred and fifty four
274,radio,english\dzdm\X5\X5-11-DZ\F012\F012_066.wav,i want to hear am nine hundred and sixty three
275,radio,english\dzdm\X5\X5-11-DZ\F012\F012_067.wav,i want to hear the radio station fm ninety point one
276,radio,english\dzdm\X5\X5-11-DZ\F012\F012_068.wav,i want to hear the radio station fm eighty eight
277,radio,english\dzdm\X5\X5-11-DZ\F012\F012_069.wav,i want to hear the radio station fm ninety five point nine
278,radio,english\dzdm\X5\X5-11-DZ\F012\F012_070.wav,i want to hear fm one hundred and six point five
279,radio,english\dzdm\X5\X5-11-DZ\F012\F012_071.wav,i want to hear fm eighty eight point seven
280,radio,english\dzdm\X5\X5-11-DZ\F012\F012_072.wav,i want to hear fm nine eight point six
281,radio,english\dzdm\X5\X5-11-DZ\F012\F012_073.wav,i want to listen to the radio station am one thousand and twenty six
282,radio,english\dzdm\X5\X5-11-DZ\F012\F012_074.wav,i want to listen to the radio station am six hundred and seventy five
283,radio,english\dzdm\X5\X5-11-DZ\F012\F012_075.wav,i want to listen to am six hundred and ninety three
284,radio,english\dzdm\X5\X5-11-DZ\F012\F012_076.wav,i want to listen to am seven hundred and two
285,radio,english\dzdm\X5\X5-11-DZ\F012\F012_077.wav,i want to listen to am seven hundred and eleven
286,radio,english\dzdm\X5\X5-11-DZ\F012\F012_078.wav,i want to listen to the radio station fm one zero three point seven
287,radio,english\dzdm\X5\X5-11-DZ\F012\F012_079.wav,i want to listen to the radio station fm eighty nine point nine
288,radio,english\dzdm\X5\X5-11-DZ\F012\F012_080.wav,i want to listen to the radio station fm nine zero point nine
289,radio,english\dzdm\X5\X5-11-DZ\F012\F012_081.wav,i want to listen to fm one hundred and seven point two
290,radio,english\dzdm\X5\X5-11-DZ\F012\F012_082.wav,i want to listen to fm nine four
291,radio,english\dzdm\X5\X5-11-DZ\F012\F012_083.wav,i want to listen to fm ninety seven point two
292,meida,english\dzdm\X5\X5-11-DZ\F012\F012_084.wav,help me open ipod audio source
293,meida,english\dzdm\X5\X5-11-DZ\F012\F012_085.wav,open ipod audio source please
294,meida,english\dzdm\X5\X5-11-DZ\F012\F012_086.wav,open ipod audio source
295,meida,english\dzdm\X5\X5-11-DZ\F012\F012_087.wav,i want to open usb
296,meida,english\dzdm\X5\X5-11-DZ\F012\F012_088.wav,i want to open bt audio
297,meida,english\dzdm\X5\X5-11-DZ\F012\F012_089.wav,i want to open ipod
298,meida,english\dzdm\X5\X5-11-DZ\F012\F012_090.wav,open bt media source
299,meida,english\dzdm\X5\X5-11-DZ\F012\F012_091.wav,open bt audio source
300,meida,english\dzdm\X5\X5-11-DZ\F012\F012_092.wav,switch to usb
301,meida,english\dzdm\X5\X5-11-DZ\F012\F012_093.wav,switch to bt audio
302,meida,english\dzdm\X5\X5-11-DZ\F012\F012_094.wav,switch to ipod
303,meida,english\dzdm\X5\X5-11-DZ\F012\F012_095.wav,i want to hear usb
304,meida,english\dzdm\X5\X5-11-DZ\F012\F012_096.wav,i want to hear bt audio
305,meida,english\dzdm\X5\X5-11-DZ\F012\F012_097.wav,i want to hear ipod
306,meida,english\dzdm\X5\X5-11-DZ\F012\F012_098.wav,listen to usb
307,meida,english\dzdm\X5\X5-11-DZ\F012\F012_099.wav,listen to ipod
308,meida,english\dzdm\X5\X5-11-DZ\F012\F012_100.wav,play the usb
309,meida,english\dzdm\X5\X5-11-DZ\F012\F012_101.wav,usb
