Â¼Òô,ÒµÎñ,Â¼Òô,±ê×¢
31,map,english/dzdm/X5/X5-16-DZ/M012/M012_168.wav,i want to get to tom sweet
32,map,english/dzdm/X5/X5-16-DZ/M012/M012_193.wav,i want to drive to beijing feed stuff monitor house
33,traffic,english/dzdm/X5/X5-11-DZ/F011/F011_018.wav,how is the traffic in current position
34,telephone,english/dzdm/X5/X5-20-DZ/M020/M020_145.wav,i wanna call luis lewis right now
35,scheduled_destination,english/dzdm/X5/X5-11-DZ/F012/F012_004.wav,i need to check schedule this week
36,map,english/dzdm/X5/X5-11-DZ/F012/F012_210.wav,go to the nearest shenyang
37,,english/dzdm/X5/X5-15-DZ/F020/F020_138.wav,ah could you please call nathan harris
38,radio,english/dzdm/X5/X5-20-DZ/M020/M020_080.wav,track up
39,meida,english/dzdm/X5/X5-18-DZ/M016/M016_097.wav,play the song by chris medina in usb
40,meida,english/dzdm/X5/X5-17-DZ/M013/M013_091.wav,i want to listen to trouble maker in usb
41,map,english/dzdm/X5/X5-16-DZ/M011/M011_148.wav,navigation
42,radio,english/dzdm/X5/X5-17-DZ/M014/M014_068.wav,i wanna to hear am nine hundred and eighty one
43,wether,english/dzdm/X5/X5-12-DZ/F014/F014_044.wav,check nanjing's weather
44,traffic,english/dzdm/X5/X5-11-DZ/F011/F011_020.wav,is there a traffic jam on first middle road
45,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_130.wav,i want to call wendy
46,map,english/dzdm/X5/X5-15-DZ/F020/F020_159.wav,the nearest amusement park
47,cmd,english/dzdm/X5/X5-13-DZ/F016/F016_039.wav,dial the first number
48,map,english/dzdm/X5/X5-18-DZ/M016/M016_147.wav,where is the nearest book store
49,map,english/dzdm/X5/X5-15-DZ/F020/F020_161.wav,where is the car rental
50,telephone,english/dzdm/X5/X5-15-DZ/F019/F019_114.wav,ring ashley shelley
51,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_135.wav,make a call to uncle
52,wether,english/dzdm/X5/X5-20-DZ/M019/M019_045.wav,what s the weather like in wuhan on monday
53,scheduled_destination,english/dzdm/X5/X5-18-DZ/M016/M016_005.wav,i need to check my agenda on may fourteenth
54,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_118.wav,help me to make a call to posey
55,wether,english/dzdm/X5/X5-15-DZ/F020/F020_062.wav,is it hot today
56,news,english/dzdm/X5/X5-13-DZ/F015/F015_009.wav,i want to read some news about comprehensive news
57,cmd,english/dzdm/X5/X5-19-DZ/M018/M018_035.wav,first
58,help,english/dzdm/X5/X5-18-DZ/M015/M015_031.wav,could you tell me how to use the voice
59,map,english/dzdm/X5/X5-19-DZ/M017/M017_153.wav,i want to get some food near seven star
60,wether,english/dzdm/X5/X5-16-DZ/M012/M012_059.wav,what s the weather like in the next two four hours
61,map,english/dzdm/X5/X5-17-DZ/M013/M013_145.wav,navigate to the nearest people's square southwest gate
62,map,english/dzdm/X5/X5-14-DZ/F018/F018_152.wav,i want to get to chengdu
63,map,english/dzdm/X5/X5-18-DZ/M015/M015_149.wav,i want to drive to the intersection between shanghai road and tianjin avenue
64,map,english/dzdm/X5/X5-12-DZ/F014/F014_175.wav,navigate to the intersection of beijing middle road first alley and middle street second alley
65,map,english/dzdm/X5/X5-19-DZ/M017/M017_167.wav,show me the amazon near home
66,wether,english/dzdm/X5/X5-19-DZ/M018/M018_054.wav,is there rain in wuhan on october seventh
67,radio,english/dzdm/X5/X5-17-DZ/M013/M013_073.wav,i would like to hear fm ninety point five
68,telephone,english/dzdm/X5/X5-18-DZ/M015/M015_143.wav,musk
69,meida,english/dzdm/X5/X5-20-DZ/M020/M020_095.wav,play backstreet boys's the essential backstreet boys
70,radio,english/dzdm/X5/X5-20-DZ/M020/M020_082.wav,change the fm
71,meida,english/dzdm/X5/X5-19-DZ/M018/M018_084.wav,open the ghost stories in usb
72,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_118.wav,make a phone call to sam
73,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_120.wav,ring ice
74,meida,english/dzdm/X5/X5-20-DZ/M019/M019_094.wav,play album never been better
75,map,english/dzdm/X5/X5-14-DZ/F018/F018_177.wav,i want to drive to newsstand
76,scheduled_destination,english/dzdm/X5/X5-14-DZ/F017/F017_006.wav,i need to check schedule on spring festival
77,map,english/dzdm/X5/X5-18-DZ/M015/M015_152.wav,i want to drive to the intersection of shenzhen west road and chengdu avenue
78,map,english/dzdm/X5/X5-12-DZ/F013/F013_195.wav,destination is west ring road north four
79,meida,english/dzdm/X5/X5-14-DZ/F018/F018_101.wav,i want to hear madonna's album celebration in usb
80,meida,english/dzdm/X5/X5-16-DZ/M012/M012_092.wav,switch to usb
81,map,english/dzdm/X5/X5-18-DZ/M015/M015_202.wav,i want to go to company
82,telephone,english/dzdm/X5/X5-20-DZ/M020/M020_129.wav,could you call william
83,map,english/dzdm/X5/X5-12-DZ/F013/F013_176.wav,drive me to west ring road south ten
84,wether,english/dzdm/X5/X5-17-DZ/M013/M013_062.wav,check shenyang's weather
85,meida,english/dzdm/X5/X5-14-DZ/F018/F018_085.wav,open the absolute music six nine
86,help,english/dzdm/X5/X5-13-DZ/F015/F015_029.wav,could you tell me how to use the traffic
87,help,english/dzdm/X5/X5-15-DZ/F020/F020_036.wav,media help
88,map,english/dzdm/X5/X5-14-DZ/F018/F018_196.wav,go to the nearest beijing
89,radio,english/dzdm/X5/X5-11-DZ/F011/F011_066.wav,launch fm
90,map,english/dzdm/X5/X5-19-DZ/M018/M018_178.wav,i want to drive to tom sweet
91,traffic,english/dzdm/X5/X5-16-DZ/M011/M011_015.wav,on the way to destination is there a traffic jam
92,wether,english/dzdm/X5/X5-11-DZ/F012/F012_057.wav,how should i dress on march eighteenth
93,telephone,english/dzdm/X5/X5-13-DZ/F016/F016_111.wav,please dial the number o five one two six seven seven o six six eight eight
94,map,english/dzdm/X5/X5-14-DZ/F018/F018_192.wav,the nearest great wall lenovo computer
95,radio,english/dzdm/X5/X5-15-DZ/F020/F020_069.wav,fm one hundred and seven point two
96,meida,english/dzdm/X5/X5-13-DZ/F015/F015_087.wav,play avril lavigne's song
97,map,english/dzdm/X5/X5-12-DZ/F014/F014_155.wav,navigate to the crossroad of number one road and chongqing south street
98,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_119.wav,can you call abigail warren for me
99,traffic,english/dzdm/X5/X5-12-DZ/F013/F013_017.wav,first middle road's traffic
100,traffic,english/dzdm/X5/X5-20-DZ/M020/M020_024.wav,how is the traffic at the intersection of shenzhen street and shenzhen street
101,meida,english/dzdm/X5/X5-19-DZ/M018/M018_090.wav,i want to hear the album fiction and fact in usb
102,news,english/dzdm/X5/X5-12-DZ/F013/F013_012.wav,i want to view some technology news
103,telephone,english/dzdm/X5/X5-13-DZ/F016/F016_130.wav,please dial the number four o o eight two o eight three eight eight
104,map,english/dzdm/X5/X5-11-DZ/F012/F012_166.wav,i want to get to newsstand
105,meida,english/dzdm/X5/X5-11-DZ/F011/F011_088.wav,help me open usb audio source please
106,map,english/dzdm/X5/X5-15-DZ/F019/F019_158.wav,the nearest public facilities
107,map,english/dzdm/X5/X5-12-DZ/F014/F014_153.wav,navigate to the crossroad between wuhan university road and beijing lady's street
108,telephone,english/dzdm/X5/X5-15-DZ/F020/F020_120.wav,can you call chloe cook for me
109,wether,english/dzdm/X5/X5-15-DZ/F020/F020_059.wav,is there haze in the next few days
110,map,english/dzdm/X5/X5-20-DZ/M019/M019_182.wav,i want to grab some coffee near sunny new trunk
111,wether,english/dzdm/X5/X5-12-DZ/F014/F014_054.wav,is it raining in chongqing
112,wether,english/dzdm/X5/X5-17-DZ/M013/M013_051.wav,excuse me what s the weather like in peking
113,wether,english/dzdm/X5/X5-18-DZ/M016/M016_051.wav,what is the weather like in tianjin now
114,help,english/dzdm/X5/X5-17-DZ/M013/M013_033.wav,can you tell me how to use the media
115,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_135.wav,dial kitty
116,radio,english/dzdm/X5/X5-15-DZ/F019/F019_065.wav,would you mind turning the radio to fm ninety one point eight
117,radio,english/dzdm/X5/X5-18-DZ/M015/M015_068.wav,please switch to fm one zero three point seven
118,map,english/dzdm/X5/X5-14-DZ/F017/F017_154.wav,i want to get some food nearby
119,map,english/dzdm/X5/X5-12-DZ/F014/F014_156.wav,navigate to the intersection between south fifth road and middle street second alley
120,map,english/dzdm/X5/X5-19-DZ/M018/M018_157.wav,go to peking
121,map,english/dzdm/X5/X5-18-DZ/M016/M016_159.wav,help me locate the position of the nearest food
122,telephone,english/dzdm/X5/X5-13-DZ/F016/F016_115.wav,call o two o eight three nine six one two three four
123,telephone,english/dzdm/X5/X5-12-DZ/F014/F014_137.wav,could you call nick for me
124,map,english/dzdm/X5/X5-15-DZ/F020/F020_164.wav,food nearby
125,map,english/dzdm/X5/X5-12-DZ/F014/F014_166.wav,navigate to the intersection of beijing street and shanghai street
126,traffic,english/dzdm/X5/X5-13-DZ/F015/F015_022.wav,show me the traffic on my trip to beijing
127,telephone,english/dzdm/X5/X5-20-DZ/M020/M020_146.wav,vivian
128,radio,english/dzdm/X5/X5-11-DZ/F012/F012_076.wav,i want to listen to am seven hundred and two
129,telephone,english/dzdm/X5/X5-11-DZ/F012/F012_108.wav,call father
130,telephone,english/dzdm/X5/X5-15-DZ/F019/F019_123.wav,ring up destiny clark immediately
131,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_125.wav,please make a phone call to julia duncan
132,radio,english/dzdm/X5/X5-17-DZ/M014/M014_064.wav,i wanna to hear the radio station am nine hundred and forty five
133,map,english/dzdm/X5/X5-16-DZ/M012/M012_183.wav,find kefir fresh milk tea
134,map,english/dzdm/X5/X5-17-DZ/M013/M013_164.wav,west street north eighth alley one
135,news,english/dzdm/X5/X5-12-DZ/F013/F013_010.wav,i want to view some politics news
136,map,english/dzdm/X5/X5-14-DZ/F017/F017_165.wav,i want to find the walmart along the destination
137,scheduled_destination,english/dzdm/X5/X5-16-DZ/M012/M012_003.wav,i need to check agenda next week
138,map,english/dzdm/X5/X5-20-DZ/M020/M020_173.wav,any jewelry nearby
139,help,english/dzdm/X5/X5-14-DZ/F017/F017_025.wav,could you show me how to use the navigation
140,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_119.wav,dial lauren arnold
141,traffic,english/dzdm/X5/X5-20-DZ/M019/M019_022.wav,how is the traffic at the intersection of west ring road and chongqing third ring expressway
142,help,english/dzdm/X5/X5-13-DZ/F015/F015_032.wav,could you tell me how to use the function
143,help,english/dzdm/X5/X5-17-DZ/M013/M013_029.wav,instructions about traffic
144,telephone,english/dzdm/X5/X5-11-DZ/F011/F011_131.wav,i want to give candy a call
145,map,english/dzdm/X5/X5-11-DZ/F011/F011_174.wav,suzhou
146,help,english/dzdm/X5/X5-19-DZ/M017/M017_028.wav,instructions for music function
147,radio,english/dzdm/X5/X5-18-DZ/M016/M016_072.wav,am frequency one thousand and seventeen
148,meida,english/dzdm/X5/X5-18-DZ/M015/M015_094.wav,are there any songs by akon in usb
149,map,english/dzdm/X5/X5-11-DZ/F011/F011_156.wav,help me navigate
150,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_122.wav,show all the calls
151,telephone,english/dzdm/X5/X5-18-DZ/M015/M015_116.wav,connect to brandon
152,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_108.wav,check call list
153,map,english/dzdm/X5/X5-15-DZ/F019/F019_193.wav,i want to get some food near northwest flavor snack
154,meida,english/dzdm/X5/X5-12-DZ/F014/F014_084.wav,play song counting stars
155,radio,english/dzdm/X5/X5-17-DZ/M013/M013_082.wav,i would like to listen to fm one hundred and five point five
156,radio,english/dzdm/X5/X5-20-DZ/M019/M019_071.wav,would you mind going to am six hundred and eighty four
157,telephone,english/dzdm/X5/X5-20-DZ/M020/M020_142.wav,could you please call nila
158,cmd,english/dzdm/X5/X5-20-DZ/M020/M020_044.wav,the previous page
159,telephone,english/dzdm/X5/X5-11-DZ/F012/F012_126.wav,please dial jenifer
160,cmd,english/dzdm/X5/X5-19-DZ/M018/M018_041.wav,third
161,map,english/dzdm/X5/X5-11-DZ/F011/F011_152.wav,start route guidance
162,map,english/dzdm/X5/X5-16-DZ/M011/M011_194.wav,how do i go to national stadium
163,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_110.wav,check the missed calls
164,map,english/dzdm/X5/X5-20-DZ/M019/M019_167.wav,where is the bank
165,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_116.wav,make a phone call to ryan
166,radio,english/dzdm/X5/X5-13-DZ/F016/F016_064.wav,turn on the radio station am nine hundred and thirty six
167,wether,english/dzdm/X5/X5-12-DZ/F013/F013_051.wav,excuse me what s the weather like in peking
168,meida,english/dzdm/X5/X5-19-DZ/M017/M017_089.wav,i just wanna run by the downtown fiction
169,map,english/dzdm/X5/X5-16-DZ/M011/M011_185.wav,i want to go to east area international post bureau
170,wether,english/dzdm/X5/X5-18-DZ/M016/M016_057.wav,what is the weather like in shenyang
171,radio,english/dzdm/X5/X5-18-DZ/M015/M015_079.wav,tune into fm eighty eight point nine
172,meida,english/dzdm/X5/X5-16-DZ/M012/M012_088.wav,i want to open bt audio
173,radio,english/dzdm/X5/X5-20-DZ/M020/M020_071.wav,fm ninety seven point two
174,help,english/dzdm/X5/X5-16-DZ/M012/M012_028.wav,instructions for system
175,telephone,english/dzdm/X5/X5-13-DZ/F015/F015_139.wav,ford
176,,english/dzdm/X5/X5-18-DZ/M015/M015_122.wav,ah could you please call camby
177,cmd,english/dzdm/X5/X5-16-DZ/M012/M012_037.wav,close
178,map,english/dzdm/X5/X5-18-DZ/M015/M015_175.wav,i want to drive to the intersection of tianjin north street and shenzhen street
179,telephone,english/dzdm/X5/X5-18-DZ/M016/M016_123.wav,i would like you to help me dial o one o six two nine one nine nine eight eight
180,meida,english/dzdm/X5/X5-18-DZ/M015/M015_092.wav,are there any songs by michael jackson in usb
181,map,english/dzdm/X5/X5-15-DZ/F020/F020_172.wav,any hotel nearby
182,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_142.wav,help me redial
183,map,english/dzdm/X5/X5-16-DZ/M011/M011_204.wav,take me to happy home decoration
184,telephone,english/dzdm/X5/X5-13-DZ/F015/F015_126.wav,could you please call ronald
185,map,english/dzdm/X5/X5-13-DZ/F015/F015_186.wav,drive me to the intersection of dongfeng street and anqing road
186,scheduled_destination,english/dzdm/X5/X5-14-DZ/F017/F017_004.wav,i need to check my schedule on labor day
187,meida,english/dzdm/X5/X5-13-DZ/F016/F016_096.wav,play the song by rihanna in usb
188,map,english/dzdm/X5/X5-11-DZ/F012/F012_162.wav,i want to go to seven star
189,help,english/dzdm/X5/X5-18-DZ/M016/M016_026.wav,could you tell me how to use the radio
190,radio,english/dzdm/X5/X5-12-DZ/F013/F013_076.wav,i would like to listen to the radio station am seven zero two
191,scheduled_destination,english/dzdm/X5/X5-16-DZ/M011/M011_001.wav,i want to check agenda today
192,radio,english/dzdm/X5/X5-17-DZ/M013/M013_068.wav,i would like to hear am nine eight one
193,help,english/dzdm/X5/X5-14-DZ/F018/F018_026.wav,can you show me how to use the radio
194,map,english/dzdm/X5/X5-15-DZ/F020/F020_207.wav,historical sites nearby
195,scheduled_destination,english/dzdm/X5/X5-11-DZ/F012/F012_003.wav,i need to check agenda next week
196,map,english/dzdm/X5/X5-18-DZ/M016/M016_156.wav,help me locate the position of the nearest craft and gift shop
197,map,english/dzdm/X5/X5-13-DZ/F016/F016_183.wav,is there a vacancy in the nearest parking lot
198,cmd,english/dzdm/X5/X5-12-DZ/F013/F013_040.wav,choose the sixth one
199,map,english/dzdm/X5/X5-15-DZ/F019/F019_202.wav,any electronics store nearby
200,wether,english/dzdm/X5/X5-19-DZ/M017/M017_058.wav,do i need an umbrella
201,map,english/dzdm/X5/X5-18-DZ/M015/M015_187.wav,go home
202,traffic,english/dzdm/X5/X5-13-DZ/F015/F015_021.wav,show me the traffic on my trip to peking
203,meida,english/dzdm/X5/X5-20-DZ/M020/M020_093.wav,play sam smith's stay with me
204,meida,english/dzdm/X5/X5-16-DZ/M012/M012_086.wav,open ipod audio source
205,meida,english/dzdm/X5/X5-20-DZ/M020/M020_105.wav,listen to meghan trainor's title
206,map,english/dzdm/X5/X5-11-DZ/F011/F011_207.wav,take me to spring garden
207,map,english/dzdm/X5/X5-14-DZ/F018/F018_150.wav,i want to get to chongqing
208,traffic,english/dzdm/X5/X5-12-DZ/F013/F013_019.wav,area one main second road's traffic
209,telephone,english/dzdm/X5/X5-20-DZ/M020/M020_143.wav,i wanna calljacob adams right now
210,wether,english/dzdm/X5/X5-13-DZ/F016/F016_046.wav,can you tell me the weather in peking may fourteenth
211,map,english/dzdm/X5/X5-17-DZ/M014/M014_178.wav,navigate to the crossroad of third middle alley and tianjin north road east first alley
212,wether,english/dzdm/X5/X5-13-DZ/F016/F016_061.wav,what is the high temperature in chengdu
213,map,english/dzdm/X5/X5-12-DZ/F013/F013_171.wav,navigate to west avenue three
214,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_129.wav,i want to call vistapaul
215,radio,english/dzdm/X5/X5-12-DZ/F014/F014_083.wav,i wanna to listen to fm one hundred and seven point five
216,traffic,english/dzdm/X5/X5-20-DZ/M019/M019_023.wav,how is the traffic at the intersection of seventh branch road and suzhou bridge
217,wether,english/dzdm/X5/X5-16-DZ/M011/M011_060.wav,will it rain spring festival
218,radio,english/dzdm/X5/X5-17-DZ/M013/M013_074.wav,i would like to listen to the radio station am six eight four
219,wether,english/dzdm/X5/X5-13-DZ/F015/F015_055.wav,what s the temperature in guangzhou now
220,meida,english/dzdm/X5/X5-13-DZ/F016/F016_086.wav,play fools garden's lemon tree in usb
221,map,english/dzdm/X5/X5-20-DZ/M020/M020_182.wav,help me locate the position of the nearest public facilities
222,wether,english/dzdm/X5/X5-18-DZ/M016/M016_046.wav,can you tell me the weather in peking may fourteenth
223,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_131.wav,please dial k f c
224,scheduled_destination,english/dzdm/X5/X5-15-DZ/F019/F019_001.wav,i want to check agenda on monday
225,meida,english/dzdm/X5/X5-13-DZ/F016/F016_087.wav,play ingrid michaelson's everybody
226,map,english/dzdm/X5/X5-11-DZ/F011/F011_179.wav,take me to nanjing
227,news,english/dzdm/X5/X5-17-DZ/M013/M013_013.wav,i want to view some military news
228,scheduled_destination,english/dzdm/X5/X5-14-DZ/F018/F018_005.wav,i want to check my agenda on saturday
229,map,english/dzdm/X5/X5-18-DZ/M016/M016_210.wav,i want to get some coffee near china sports lottery
230,cmd,english/dzdm/X5/X5-12-DZ/F014/F014_034.wav,the third line
231,map,english/dzdm/X5/X5-20-DZ/M019/M019_153.wav,any convenience store nearby
232,map,english/dzdm/X5/X5-20-DZ/M020/M020_161.wav,where is the car rental
233,news,english/dzdm/X5/X5-16-DZ/M012/M012_012.wav,i want to view some national news
234,telephone,english/dzdm/X5/X5-19-DZ/M018/M018_132.wav,show the call history
235,map,english/dzdm/X5/X5-11-DZ/F011/F011_195.wav,how do i go to bank of china information center northeast gate
236,wether,english/dzdm/X5/X5-12-DZ/F013/F013_050.wav,excuse me what s the weather like in nanjing
237,wether,english/dzdm/X5/X5-19-DZ/M018/M018_058.wav,what s the weather like in beijing tomorrow
238,telephone,english/dzdm/X5/X5-18-DZ/M016/M016_113.wav,call one six o
239,telephone,english/dzdm/X5/X5-20-DZ/M019/M019_131.wav,make a phone call to amber keith
240,wether,english/dzdm/X5/X5-11-DZ/F011/F011_056.wav,what s the weather like on saturday
241,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_139.wav,i would like to call linda
242,map,english/dzdm/X5/X5-20-DZ/M019/M019_179.wav,i want to get some coffee near newsstand
243,telephone,english/dzdm/X5/X5-12-DZ/F013/F013_106.wav,please make a phone call to matin new
244,map,english/dzdm/X5/X5-16-DZ/M012/M012_208.wav,go to the nearest wuhan
245,telephone,english/dzdm/X5/X5-13-DZ/F015/F015_121.wav,ah could you please call anderson
246,scheduled_destination,english/dzdm/X5/X5-18-DZ/M015/M015_003.wav,i want to check my agenda on january ninth
247,map,english/dzdm/X5/X5-19-DZ/M017/M017_198.wav,how do i get to tom sweet
248,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_111.wav,call frankie
249,meida,english/dzdm/X5/X5-12-DZ/F013/F013_089.wav,i want to listen to yesterday once more in usb
250,telephone,english/dzdm/X5/X5-17-DZ/M014/M014_108.wav,give alexander david a call
251,telephone,english/dzdm/X5/X5-16-DZ/M012/M012_112.wav,call gps
252,radio,english/dzdm/X5/X5-16-DZ/M012/M012_077.wav,i want to listen to am seven hundred and eleven
253,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_120.wav,call mather's company number starting with one five seven
254,map,english/dzdm/X5/X5-20-DZ/M020/M020_206.wav,where is the golf course
255,traffic,english/dzdm/X5/X5-14-DZ/F017/F017_016.wav,tell me the traffic around company
256,wether,english/dzdm/X5/X5-12-DZ/F013/F013_055.wav,what s the weather like in shenzhen now
257,meida,english/dzdm/X5/X5-13-DZ/F015/F015_100.wav,are there any songs by jacky cheung in usb
258,meida,english/dzdm/X5/X5-11-DZ/F012/F012_088.wav,i want to open bt audio
259,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_137.wav,call back the previous number
260,wether,english/dzdm/X5/X5-14-DZ/F017/F017_044.wav,what is the high temperature in wuhan
261,wether,english/dzdm/X5/X5-11-DZ/F011/F011_057.wav,what s the weather like on sunday
262,meida,english/dzdm/X5/X5-20-DZ/M020/M020_099.wav,listen to nicki minaj's album starships
263,cmd,english/dzdm/X5/X5-12-DZ/F013/F013_039.wav,choose the fifth one
264,telephone,english/dzdm/X5/X5-14-DZ/F017/F017_119.wav,call masud target's china unicom number starting with one five two
265,meida,english/dzdm/X5/X5-12-DZ/F013/F013_092.wav,i want to listen to poker face
266,telephone,english/dzdm/X5/X5-16-DZ/M011/M011_126.wav,dial brother's number
267,meida,english/dzdm/X5/X5-19-DZ/M017/M017_084.wav,play the song bye bye bye by lovestoned or not
268,telephone,english/dzdm/X5/X5-18-DZ/M015/M015_120.wav,ah could you please call anthony
269,telephone,english/dzdm/X5/X5-18-DZ/M015/M015_124.wav,ah could you please call drake
270,wether,english/dzdm/X5/X5-19-DZ/M017/M017_054.wav,what is the temperature in tianjin now
271,cmd,english/dzdm/X5/X5-20-DZ/M019/M019_037.wav,fifth
272,map,english/dzdm/X5/X5-16-DZ/M011/M011_196.wav,how do i go to first people's hospital affiliated to shanghai jiao tong university
273,map,english/dzdm/X5/X5-20-DZ/M019/M019_163.wav,where is the airport
274,map,english/dzdm/X5/X5-20-DZ/M020/M020_178.wav,any museum nearby
275,telephone,english/dzdm/X5/X5-19-DZ/M017/M017_138.wav,call the previous number
276,wether,english/dzdm/X5/X5-19-DZ/M018/M018_049.wav,is there rain in guangzhou on tuesday
277,map,english/dzdm/X5/X5-19-DZ/M017/M017_214.wav,i want to find the palace museum
278,map,english/dzdm/X5/X5-18-DZ/M016/M016_149.wav,any building nearby
279,map,english/dzdm/X5/X5-12-DZ/F013/F013_156.wav,where is the closest first people's hospital affiliated to shanghai jiao tong university
280,wether,english/dzdm/X5/X5-13-DZ/F015/F015_061.wav,i want to know the weather in chongqing september fifteenth
281,wether,english/dzdm/X5/X5-14-DZ/F018/F018_047.wav,is there rain in shanghai on sunday
282,traffic,english/dzdm/X5/X5-19-DZ/M017/M017_021.wav,how's the traffic at the intersection of south fifth road and middle street second alley
283,map,english/dzdm/X5/X5-15-DZ/F020/F020_167.wav,where is the nearest food
284,telephone,english/dzdm/X5/X5-14-DZ/F018/F018_127.wav,i want to check the call log
285,map,english/dzdm/X5/X5-17-DZ/M014/M014_147.wav,navigate to the crossroad of seventh branch road and nanjing road
286,wether,english/dzdm/X5/X5-11-DZ/F011/F011_052.wav,what s the weather like on september fifteenth
287,cmd,english/dzdm/X5/X5-18-DZ/M016/M016_043.wav,dial the fifth number
288,map,english/dzdm/X5/X5-17-DZ/M013/M013_146.wav,navigate to the nearest block d wanda plaza
289,radio,english/dzdm/X5/X5-11-DZ/F011/F011_071.wav,am
290,map,english/dzdm/X5/X5-12-DZ/F014/F014_177.wav,navigate to the crossroad between middle street second alley and third middle alley
291,help,english/dzdm/X5/X5-20-DZ/M020/M020_032.wav,schedule help
292,map,english/dzdm/X5/X5-19-DZ/M018/M018_193.wav,the nearest great wall
293,meida,english/dzdm/X5/X5-11-DZ/F012/F012_087.wav,i want to open usb
294,map,english/dzdm/X5/X5-16-DZ/M011/M011_154.wav,open route guidance
295,meida,english/dzdm/X5/X5-13-DZ/F015/F015_095.wav,are there any songs by linkin park
296,news,english/dzdm/X5/X5-19-DZ/M018/M018_007.wav,i want to check some news about international news
297,traffic,english/dzdm/X5/X5-17-DZ/M013/M013_023.wav,chongqing south street's traffic
298,radio,english/dzdm/X5/X5-17-DZ/M013/M013_070.wav,i would like to hear the radio station fm eight eight
