strAudioPath,pcm_time(UTC ms),sr_result
msc_log_2017-07-20Thu20-30-42.712000.pcm.SpeexWb.pcm,1500553842712.0,随便放个外语版的
msc_log_2017-07-20Thu20-30-46.671000.pcm.SpeexWb.pcm,1500553846671.0,换下一首
msc_log_2017-07-20Thu20-30-50.078000.pcm.SpeexWb.pcm,1500553850078.0,请放亲爱的小孩
msc_log_2017-07-20Thu20-30-54.281000.pcm.SpeexWb.pcm,1500553854281.0,先帮我收藏一下这首歌
msc_log_2017-07-20Thu20-30-58.733000.pcm.SpeexWb.pcm,1500553858733.0,暂停一下
msc_log_2017-07-20Thu20-31-02.266000.pcm.SpeexWb.pcm,1500553862266.0,不听这个了换下一曲
msc_log_2017-07-20Thu20-31-06.355000.pcm.SpeexWb.pcm,1500553866355.0,换个人唱的
msc_log_2017-07-20Thu20-31-09.593000.pcm.SpeexWb.pcm,1500553869593.0,播放克莱德曼
msc_log_2017-07-20Thu20-31-12.900000.pcm.SpeexWb.pcm,1500553872900.0,循环播放
msc_log_2017-07-20Thu20-31-16.256000.pcm.SpeexWb.pcm,1500553876256.0,这首歌有没有m v
msc_log_2017-07-20Thu20-31-19.993000.pcm.SpeexWb.pcm,1500553879993.0,播放
msc_log_2017-07-20Thu20-31-32.714000.pcm.SpeexWb.pcm,1500553892714.0,唱世上只有妈妈好
msc_log_2017-07-20Thu20-31-36.435000.pcm.SpeexWb.pcm,1500553896435.0,要小朋友唱的
msc_log_2017-07-20Thu20-31-49.657000.pcm.SpeexWb.pcm,1500553909657.0,切换到下一首歌曲
msc_log_2017-07-20Thu20-31-53.317000.pcm.SpeexWb.pcm,1500553913317.0,换个人唱的
msc_log_2017-07-20Thu20-31-56.763000.pcm.SpeexWb.pcm,1500553916763.0,可以听歌吗
msc_log_2017-07-20Thu20-32-00.580000.pcm.SpeexWb.pcm,1500553920580.0,我想听钢琴曲
msc_log_2017-07-20Thu20-32-04.709000.pcm.SpeexWb.pcm,1500553924709.0,来一首dj舞曲吧
msc_log_2017-07-20Thu20-32-09.897000.pcm.SpeexWb.pcm,1500553929897.0,把歌曲暂停一下
msc_log_2017-07-20Thu20-32-13.424000.pcm.SpeexWb.pcm,1500553933424.0,从头播放一遍
msc_log_2017-07-20Thu20-32-16.800000.pcm.SpeexWb.pcm,1500553936800.0,放一首好听的歌
msc_log_2017-07-20Thu20-32-20.859000.pcm.SpeexWb.pcm,1500553940859.0,我要听张杰的歌曲
msc_log_2017-07-20Thu20-32-24.909000.pcm.SpeexWb.pcm,1500553944909.0,听她的力战
msc_log_2017-07-20Thu20-32-37.785000.pcm.SpeexWb.pcm,1500553957785.0,换下一首吧
msc_log_2017-07-20Thu20-32-41.111000.pcm.SpeexWb.pcm,1500553961111.0,循环播放逆战
msc_log_2017-07-20Thu20-32-44.984000.pcm.SpeexWb.pcm,1500553964984.0,播放歌曲
msc_log_2017-07-20Thu20-32-48.456000.pcm.SpeexWb.pcm,1500553968456.0,查看排行榜歌曲
msc_log_2017-07-20Thu20-32-52.163000.pcm.SpeexWb.pcm,1500553972163.0,那就薛之谦的吧
msc_log_2017-07-20Thu20-32-55.620000.pcm.SpeexWb.pcm,1500553975620.0,不是这首是我害怕
msc_log_2017-07-20Thu20-32-59.691000.pcm.SpeexWb.pcm,1500553979691.0,不错收藏一下
msc_log_2017-07-20Thu20-33-03.121000.pcm.SpeexWb.pcm,1500553983121.0,歌曲那一天
msc_log_2017-07-20Thu20-33-06.713000.pcm.SpeexWb.pcm,1500553986713.0,换个其他的人唱的
msc_log_2017-07-20Thu20-33-11.391000.pcm.SpeexWb.pcm,1500553991391.0,不想听这首歌了换一首
msc_log_2017-07-20Thu20-33-16.162000.pcm.SpeexWb.pcm,1500553996162.0,换个粤语版的
msc_log_2017-07-20Thu20-33-20.058000.pcm.SpeexWb.pcm,1500554000058.0,我要听首歌
msc_log_2017-07-20Thu20-33-23.678000.pcm.SpeexWb.pcm,1500554003678.0,我要听一首粤语歌
msc_log_2017-07-20Thu20-33-28.347000.pcm.SpeexWb.pcm,1500554008347.0,要听刘德华的粤语歌
msc_log_2017-07-20Thu20-33-33.007000.pcm.SpeexWb.pcm,1500554013007.0,听刘德华的爱你一万年
msc_log_2017-07-20Thu20-33-37.281000.pcm.SpeexWb.pcm,1500554017281.0,我想听儿歌唱的响亮
msc_log_2017-07-20Thu20-33-41.698000.pcm.SpeexWb.pcm,1500554021698.0,不想听儿歌了新春乐吧
msc_log_2017-07-20Thu20-33-55.962000.pcm.SpeexWb.pcm,1500554035962.0,听听钢琴曲也行
msc_log_2017-07-20Thu20-33-59.489000.pcm.SpeexWb.pcm,1500554039489.0,那就郎朗的吧
msc_log_2017-07-20Thu20-34-02.826000.pcm.SpeexWb.pcm,1500554042826.0,我要听逆流成河
msc_log_2017-07-20Thu20-34-06.521000.pcm.SpeexWb.pcm,1500554046521.0,有没有粤语版的逆流成河
msc_log_2017-07-20Thu20-34-10.620000.pcm.SpeexWb.pcm,1500554050620.0,换个其他人唱的
msc_log_2017-07-20Thu20-34-14.265000.pcm.SpeexWb.pcm,1500554054265.0,音乐暂停一下
msc_log_2017-07-20Thu20-34-17.541000.pcm.SpeexWb.pcm,1500554057541.0,播放阿楚姑娘
msc_log_2017-07-20Thu20-34-21.135000.pcm.SpeexWb.pcm,1500554061135.0,我要听原唱的版本
msc_log_2017-07-20Thu20-34-24.877000.pcm.SpeexWb.pcm,1500554064877.0,暂停屏幕太暗了
msc_log_2017-07-20Thu20-34-28.478000.pcm.SpeexWb.pcm,1500554068478.0,继续播放
msc_log_2017-07-20Thu20-34-31.545000.pcm.SpeexWb.pcm,1500554071545.0,我想听小亮的歌
msc_log_2017-07-20Thu20-34-35.294000.pcm.SpeexWb.pcm,1500554075294.0,听他唱的英文歌
msc_log_2017-07-20Thu20-34-39.385000.pcm.SpeexWb.pcm,1500554079385.0,帮我收藏一下这首歌
msc_log_2017-07-20Thu20-34-43.202000.pcm.SpeexWb.pcm,1500554083202.0,可以单曲循环播放吗
msc_log_2017-07-20Thu20-34-47.168000.pcm.SpeexWb.pcm,1500554087168.0,切换下一首
msc_log_2017-07-20Thu20-34-50.398000.pcm.SpeexWb.pcm,1500554090398.0,梦醒时分
msc_log_2017-07-20Thu20-34-53.591000.pcm.SpeexWb.pcm,1500554093591.0,切换下一首
msc_log_2017-07-20Thu20-34-56.934000.pcm.SpeexWb.pcm,1500554096934.0,声音小一点吧
msc_log_2017-07-20Thu20-35-00.175000.pcm.SpeexWb.pcm,1500554100175.0,暂停
msc_log_2017-07-20Thu20-35-03.079000.pcm.SpeexWb.pcm,1500554103079.0,我要听中国心
msc_log_2017-07-20Thu20-35-06.722000.pcm.SpeexWb.pcm,1500554106722.0,帮我单曲循环中国心
msc_log_2017-07-20Thu20-35-10.840000.pcm.SpeexWb.pcm,1500554110840.0,给我收藏这首歌
msc_log_2017-07-20Thu20-35-14.412000.pcm.SpeexWb.pcm,1500554114412.0,暂停一下
msc_log_2017-07-20Thu20-35-17.467000.pcm.SpeexWb.pcm,1500554117467.0,小苹果
msc_log_2017-07-20Thu20-35-30.186000.pcm.SpeexWb.pcm,1500554130186.0,放一下筷子兄弟的小苹果
msc_log_2017-07-20Thu20-35-34.524000.pcm.SpeexWb.pcm,1500554134524.0,换个别的人唱的
msc_log_2017-07-20Thu20-35-47.694000.pcm.SpeexWb.pcm,1500554147694.0,循环播放这首歌
msc_log_2017-07-20Thu20-35-51.273000.pcm.SpeexWb.pcm,1500554151273.0,放首歌听听
msc_log_2017-07-20Thu20-36-04.340000.pcm.SpeexWb.pcm,1500554164340.0,换个柔摇滚点的
msc_log_2017-07-20Thu20-36-07.886000.pcm.SpeexWb.pcm,1500554167886.0,再找个相似的播放
msc_log_2017-07-20Thu20-36-21.386000.pcm.SpeexWb.pcm,1500554181386.0,我想听烟火
msc_log_2017-07-20Thu20-36-25.013000.pcm.SpeexWb.pcm,1500554185013.0,放一下他唱的其他歌
msc_log_2017-07-20Thu20-36-29.061000.pcm.SpeexWb.pcm,1500554189061.0,切换到下一曲
msc_log_2017-07-20Thu20-36-32.366000.pcm.SpeexWb.pcm,1500554192366.0,再听一遍烟火
msc_log_2017-07-20Thu20-36-36.019000.pcm.SpeexWb.pcm,1500554196019.0,收藏烟火
msc_log_2017-07-20Thu20-36-39.102000.pcm.SpeexWb.pcm,1500554199102.0,播放海顿的音乐
msc_log_2017-07-20Thu20-36-42.645000.pcm.SpeexWb.pcm,1500554202645.0,播放海顿的交响乐
msc_log_2017-07-20Thu20-36-46.511000.pcm.SpeexWb.pcm,1500554206511.0,换个其他人的交响乐
msc_log_2017-07-20Thu20-36-50.938000.pcm.SpeexWb.pcm,1500554210938.0,播放值得
msc_log_2017-07-20Thu20-36-54.209000.pcm.SpeexWb.pcm,1500554214209.0,有其他人唱的版本吗
msc_log_2017-07-20Thu20-36-58.195000.pcm.SpeexWb.pcm,1500554218195.0,给我来一个粤语版值得
msc_log_2017-07-20Thu20-37-02.295000.pcm.SpeexWb.pcm,1500554222295.0,切换下一曲
msc_log_2017-07-20Thu20-37-05.775000.pcm.SpeexWb.pcm,1500554225775.0,暂停播放
msc_log_2017-07-20Thu20-37-08.896000.pcm.SpeexWb.pcm,1500554228896.0,老鼠爱大米
msc_log_2017-07-20Thu20-37-12.179000.pcm.SpeexWb.pcm,1500554232179.0,有没有英文版的老鼠爱大米
msc_log_2017-07-20Thu20-37-16.328000.pcm.SpeexWb.pcm,1500554236328.0,暂停一下
msc_log_2017-07-20Thu20-37-19.371000.pcm.SpeexWb.pcm,1500554239371.0,切换下一首
msc_log_2017-07-20Thu20-37-22.608000.pcm.SpeexWb.pcm,1500554242608.0,来一首铿锵玫瑰
msc_log_2017-07-20Thu20-37-26.388000.pcm.SpeexWb.pcm,1500554246388.0,换一首军歌
msc_log_2017-07-20Thu20-37-29.745000.pcm.SpeexWb.pcm,1500554249745.0,表达想家的军歌有没有
msc_log_2017-07-20Thu20-37-33.836000.pcm.SpeexWb.pcm,1500554253836.0,换个其他人唱的
msc_log_2017-07-20Thu20-37-37.539000.pcm.SpeexWb.pcm,1500554257539.0,我想听吻别
msc_log_2017-07-20Thu20-37-41.045000.pcm.SpeexWb.pcm,1500554261045.0,不是我要的是英文版的
msc_log_2017-07-20Thu20-37-45.343000.pcm.SpeexWb.pcm,1500554265343.0,下载下载
msc_log_2017-07-20Thu20-37-48.780000.pcm.SpeexWb.pcm,1500554268780.0,叫我来巡山这首歌播放一下
msc_log_2017-07-20Thu20-37-53.428000.pcm.SpeexWb.pcm,1500554273428.0,换下一首歌曲
msc_log_2017-07-20Thu20-37-56.879000.pcm.SpeexWb.pcm,1500554276879.0,先把音乐暂停一下
msc_log_2017-07-20Thu20-38-01.025000.pcm.SpeexWb.pcm,1500554281025.0,有没有dj版的
msc_log_2017-07-20Thu20-38-04.520000.pcm.SpeexWb.pcm,1500554284520.0,你唱首歌听吧
msc_log_2017-07-20Thu20-38-08.290000.pcm.SpeexWb.pcm,1500554288290.0,有没有纯音乐
msc_log_2017-07-20Thu20-38-11.947000.pcm.SpeexWb.pcm,1500554291947.0,给我来首舞曲吧
msc_log_2017-07-20Thu20-38-15.982000.pcm.SpeexWb.pcm,1500554295982.0,有舞曲跳湖吗
msc_log_2017-07-20Thu20-38-29.329000.pcm.SpeexWb.pcm,1500554309329.0,泥鳅这首歌
msc_log_2017-07-20Thu20-38-32.651000.pcm.SpeexWb.pcm,1500554312651.0,换一首歌
msc_log_2017-07-20Thu20-38-45.501000.pcm.SpeexWb.pcm,1500554325501.0,暂停播放
msc_log_2017-07-20Thu20-38-48.686000.pcm.SpeexWb.pcm,1500554328686.0,退出吧
msc_log_2017-07-20Thu20-38-51.720000.pcm.SpeexWb.pcm,1500554331720.0,我要听陈奕迅的歌
msc_log_2017-07-20Thu20-38-55.566000.pcm.SpeexWb.pcm,1500554335566.0,换一首别的歌
msc_log_2017-07-20Thu20-38-58.989000.pcm.SpeexWb.pcm,1500554338989.0,循环播放她的歌
msc_log_2017-07-20Thu20-39-02.666000.pcm.SpeexWb.pcm,1500554342666.0,帮我收藏她的歌
msc_log_2017-07-20Thu20-39-06.359000.pcm.SpeexWb.pcm,1500554346359.0,我要听崔格子
msc_log_2017-07-20Thu20-39-10.071000.pcm.SpeexWb.pcm,1500554350071.0,换下一首听
msc_log_2017-07-20Thu20-39-13.581000.pcm.SpeexWb.pcm,1500554353581.0,给我换个dj版的
msc_log_2017-07-20Thu20-39-17.307000.pcm.SpeexWb.pcm,1500554357307.0,听听英文版的怎么样
msc_log_2017-07-20Thu20-39-21.197000.pcm.SpeexWb.pcm,1500554361197.0,三生三世
msc_log_2017-07-20Thu20-39-25.354000.pcm.SpeexWb.pcm,1500554365354.0,放一下电视剧的其他插曲
msc_log_2017-07-20Thu20-39-30.068000.pcm.SpeexWb.pcm,1500554370068.0,我想收藏一下这首歌
msc_log_2017-07-20Thu20-39-34.286000.pcm.SpeexWb.pcm,1500554374286.0,其他人唱的有没有
msc_log_2017-07-20Thu20-39-37.907000.pcm.SpeexWb.pcm,1500554377907.0,帮我把歌曲暂停一下
msc_log_2017-07-20Thu20-39-42.424000.pcm.SpeexWb.pcm,1500554382424.0,请播放凤凰传奇
msc_log_2017-07-20Thu20-39-47.301000.pcm.SpeexWb.pcm,1500554387301.0,帮我看一下凤凰传奇的荷塘月色
msc_log_2017-07-20Thu20-39-52.466000.pcm.SpeexWb.pcm,1500554392466.0,单曲循环播放荷塘月色
msc_log_2017-07-20Thu20-39-57.313000.pcm.SpeexWb.pcm,1500554397313.0,收藏一下她们的歌
msc_log_2017-07-20Thu20-40-01.078000.pcm.SpeexWb.pcm,1500554401078.0,给我放一首刘德华的歌
msc_log_2017-07-20Thu20-40-05.648000.pcm.SpeexWb.pcm,1500554405648.0,就听谢谢你的爱吧
msc_log_2017-07-20Thu20-40-09.951000.pcm.SpeexWb.pcm,1500554409951.0,放一下刘德华的其他歌曲
msc_log_2017-07-20Thu20-40-16.304000.pcm.SpeexWb.pcm,1500554416304.0,打开网络歌曲
msc_log_2017-07-20Thu20-40-20.575000.pcm.SpeexWb.pcm,1500554420575.0,听网络最流行的歌曲
msc_log_2017-07-20Thu20-40-24.328000.pcm.SpeexWb.pcm,1500554424328.0,开始播放
msc_log_2017-07-20Thu20-40-28.588000.pcm.SpeexWb.pcm,1500554428588.0,播放杜德伟的歌
msc_log_2017-07-20Thu20-40-32.461000.pcm.SpeexWb.pcm,1500554432461.0,播放她的成名歌曲
msc_log_2017-07-20Thu20-40-36.758000.pcm.SpeexWb.pcm,1500554436758.0,有别人翻唱的吗
msc_log_2017-07-20Thu20-40-40.758000.pcm.SpeexWb.pcm,1500554440758.0,好吧换首情人
msc_log_2017-07-20Thu20-40-45.545000.pcm.SpeexWb.pcm,1500554445545.0,收藏一下情人
msc_log_2017-07-20Thu20-40-49.354000.pcm.SpeexWb.pcm,1500554449354.0,我想听音乐
msc_log_2017-07-20Thu20-40-53.090000.pcm.SpeexWb.pcm,1500554453090.0,我想听dj歌曲
msc_log_2017-07-20Thu20-40-56.831000.pcm.SpeexWb.pcm,1500554456831.0,换一首动感的舞曲
msc_log_2017-07-20Thu20-41-00.918000.pcm.SpeexWb.pcm,1500554460918.0,切换下一首
msc_log_2017-07-20Thu20-41-04.713000.pcm.SpeexWb.pcm,1500554464713.0,播放歌
msc_log_2017-07-20Thu20-41-08.330000.pcm.SpeexWb.pcm,1500554468330.0,英文的
msc_log_2017-07-20Thu20-41-11.575000.pcm.SpeexWb.pcm,1500554471575.0,声音最大
msc_log_2017-07-20Thu20-41-15.015000.pcm.SpeexWb.pcm,1500554475015.0,搜藏吧
msc_log_2017-07-20Thu20-41-18.659000.pcm.SpeexWb.pcm,1500554478659.0,我想听风雨兼程
msc_log_2017-07-20Thu20-41-22.500000.pcm.SpeexWb.pcm,1500554482500.0,这首歌是哪个专辑的
msc_log_2017-07-20Thu20-41-26.416000.pcm.SpeexWb.pcm,1500554486416.0,我要听这个专辑的所有歌
msc_log_2017-07-20Thu20-41-30.715000.pcm.SpeexWb.pcm,1500554490715.0,这首歌不好听下一首
msc_log_2017-07-20Thu20-41-34.788000.pcm.SpeexWb.pcm,1500554494788.0,播放音乐
msc_log_2017-07-20Thu20-41-38.093000.pcm.SpeexWb.pcm,1500554498093.0,这首歌谁唱的
msc_log_2017-07-20Thu20-41-41.576000.pcm.SpeexWb.pcm,1500554501576.0,有没有男生版的这首歌
msc_log_2017-07-20Thu20-41-55.587000.pcm.SpeexWb.pcm,1500554515587.0,播放下一首
msc_log_2017-07-20Thu20-41-59.055000.pcm.SpeexWb.pcm,1500554519055.0,播放李健的风吹麦浪
msc_log_2017-07-20Thu20-42-12.908000.pcm.SpeexWb.pcm,1500554532908.0,要现场版的
msc_log_2017-07-20Thu20-42-16.184000.pcm.SpeexWb.pcm,1500554536184.0,我想听他的其他歌
msc_log_2017-07-20Thu20-42-21.127000.pcm.SpeexWb.pcm,1500554541127.0,开始播放
msc_log_2017-07-20Thu20-42-24.068000.pcm.SpeexWb.pcm,1500554544068.0,吻别
msc_log_2017-07-20Thu20-42-27.075000.pcm.SpeexWb.pcm,1500554547075.0,吻别谁唱的
msc_log_2017-07-20Thu20-42-30.353000.pcm.SpeexWb.pcm,1500554550353.0,我要听她的歌
msc_log_2017-07-20Thu20-42-33.720000.pcm.SpeexWb.pcm,1500554553720.0,英文版的有没有
msc_log_2017-07-20Thu20-42-37.313000.pcm.SpeexWb.pcm,1500554557313.0,给我放歌
msc_log_2017-07-20Thu20-42-41.115000.pcm.SpeexWb.pcm,1500554561115.0,给我放个女歌手的歌曲
msc_log_2017-07-20Thu20-42-45.436000.pcm.SpeexWb.pcm,1500554565436.0,切换下一首歌曲
msc_log_2017-07-20Thu20-42-49.022000.pcm.SpeexWb.pcm,1500554569022.0,听听其他人唱的
msc_log_2017-07-20Thu20-42-52.501000.pcm.SpeexWb.pcm,1500554572501.0,请播放小苹果
msc_log_2017-07-20Thu20-42-56.204000.pcm.SpeexWb.pcm,1500554576204.0,小苹果出自哪个专辑
msc_log_2017-07-20Thu20-43-00.290000.pcm.SpeexWb.pcm,1500554580290.0,我要听这个专辑的歌
msc_log_2017-07-20Thu20-43-04.062000.pcm.SpeexWb.pcm,1500554584062.0,播放歌曲女人花
msc_log_2017-07-20Thu20-43-08.556000.pcm.SpeexWb.pcm,1500554588556.0,莲花水唱的
msc_log_2017-07-20Thu20-43-11.955000.pcm.SpeexWb.pcm,1500554591955.0,我要听她的歌
msc_log_2017-07-20Thu20-43-15.876000.pcm.SpeexWb.pcm,1500554595876.0,换他的下一首歌曲
msc_log_2017-07-20Thu20-43-19.742000.pcm.SpeexWb.pcm,1500554599742.0,我的好兄弟
msc_log_2017-07-20Thu20-43-22.938000.pcm.SpeexWb.pcm,1500554602938.0,我的好兄弟谁唱的
msc_log_2017-07-20Thu20-43-26.889000.pcm.SpeexWb.pcm,1500554606889.0,我想听女的唱的我的好兄弟
msc_log_2017-07-20Thu20-43-31.584000.pcm.SpeexWb.pcm,1500554611584.0,有没有dj版的我的好兄弟
msc_log_2017-07-20Thu20-43-35.744000.pcm.SpeexWb.pcm,1500554615744.0,随机放首歌
msc_log_2017-07-20Thu20-43-39.412000.pcm.SpeexWb.pcm,1500554619412.0,男歌手唱的
msc_log_2017-07-20Thu20-43-43.459000.pcm.SpeexWb.pcm,1500554623459.0,不要中文的来个英文歌
msc_log_2017-07-20Thu20-43-48.169000.pcm.SpeexWb.pcm,1500554628169.0,给我来一首单身情歌
msc_log_2017-07-20Thu20-43-52.419000.pcm.SpeexWb.pcm,1500554632419.0,播放下一首
msc_log_2017-07-20Thu20-43-55.607000.pcm.SpeexWb.pcm,1500554635607.0,单身情歌出自哪个专辑
msc_log_2017-07-20Thu20-43-59.850000.pcm.SpeexWb.pcm,1500554639850.0,我要听这个专辑的歌
msc_log_2017-07-20Thu20-44-04.591000.pcm.SpeexWb.pcm,1500554644591.0,听老人与海
msc_log_2017-07-20Thu20-44-08.279000.pcm.SpeexWb.pcm,1500554648279.0,有英文版的吗
msc_log_2017-07-20Thu20-44-12.873000.pcm.SpeexWb.pcm,1500554652873.0,给我听一下吕珊版老人与海
msc_log_2017-07-20Thu20-44-17.745000.pcm.SpeexWb.pcm,1500554657745.0,换下一首吧
msc_log_2017-07-20Thu20-44-21.096000.pcm.SpeexWb.pcm,1500554661096.0,不想听这个了
msc_log_2017-07-20Thu20-44-24.883000.pcm.SpeexWb.pcm,1500554664883.0,落花
msc_log_2017-07-20Thu20-44-28.076000.pcm.SpeexWb.pcm,1500554668076.0,听一下林心如的落花
msc_log_2017-07-20Thu20-44-32.874000.pcm.SpeexWb.pcm,1500554672874.0,我要听美人心计的歌曲
msc_log_2017-07-20Thu20-44-37.082000.pcm.SpeexWb.pcm,1500554677082.0,美人心计的插曲我都想听
msc_log_2017-07-20Thu20-44-41.569000.pcm.SpeexWb.pcm,1500554681569.0,放首歌
msc_log_2017-07-20Thu20-44-45.325000.pcm.SpeexWb.pcm,1500554685325.0,放我是歌手里面的歌
msc_log_2017-07-20Thu20-44-50.943000.pcm.SpeexWb.pcm,1500554690943.0,放我是歌手第二季的歌
msc_log_2017-07-20Thu20-44-55.827000.pcm.SpeexWb.pcm,1500554695827.0,我是歌手黄丽玲的歌
msc_log_2017-07-20Thu20-45-00.576000.pcm.SpeexWb.pcm,1500554700576.0,播放心甘情愿
msc_log_2017-07-20Thu20-45-04.583000.pcm.SpeexWb.pcm,1500554704583.0,心甘情愿水唱的
msc_log_2017-07-20Thu20-45-08.248000.pcm.SpeexWb.pcm,1500554708248.0,他还有别的专辑吗
msc_log_2017-07-20Thu20-45-12.477000.pcm.SpeexWb.pcm,1500554712477.0,听一下专辑里的歌曲吧
msc_log_2017-07-20Thu20-45-16.668000.pcm.SpeexWb.pcm,1500554716668.0,给我来一首单身情歌
msc_log_2017-07-20Thu20-45-21.251000.pcm.SpeexWb.pcm,1500554721251.0,女的唱的单身情歌有没有
msc_log_2017-07-20Thu20-45-25.812000.pcm.SpeexWb.pcm,1500554725812.0,单身情歌谁唱的
