用户说法,user_data
那就去连徐高速议堂加油站,返回|主界面|通知栏|水心加油站过境路辅路|温州市鹿城区|加油站西山东路|温州市瓯海区|广化加油站|吴桥加油站|温州市吴桥路90弄3号|交运石油南站加油站|温州市飞霞南路918弄7
开始导航,返回|主界面|通知栏|永嘉县上塘镇高速办|温州市永嘉县|永嘉收费站26诸永高速出口峙口方向|永嘉收费站26诸永高速入口杭州方向
导航到淮安机场高速路口,返回|主界面|通知栏|路线偏好|距离最短|15小时32分钟|1362公里|红绿灯8个|收费715元|收费较少|15小时55分钟|1411公里|开始导航|设置车牌避开十堰市外地车限行|缩小图面|放大图面|仅供测试
去机场高速和机场路,返回|主界面|通知栏|25长深高速入口淮安机场方向|淮安市涟水县|淮安机场出口25长深高速出口东北向|淮安机场出口25长深高速出口西南向|机场收费站25长深高速出口方向|淮安涟水机场|淮安市空港路1
选择红绿灯最少的路线,返回|主界面|通知栏|25长深高速入口淮安机场方向|淮安市涟水县|淮安机场出口25长深高速出口东北向|淮安机场出口25长深高速出口西南向|机场收费站25长深高速出口方向|淮安涟水机场|淮安市空港路1
导航,返回|主界面|通知栏|25长深高速入口淮安机场方向|淮安市涟水县|淮安机场出口25长深高速出口东北向|淮安机场出口25长深高速出口西南向|机场收费站25长深高速出口方向|淮安涟水机场|淮安市空港路1
带我去四川成都,返回|主界面|通知栏|路线偏好|距离最短|15小时32分钟|1362公里|红绿灯8个|收费715元|收费较少|15小时55分钟|1411公里|开始导航|设置车牌避开十堰市外地车限行|缩小图面|放大图面|仅供测试
位于人民东路86号的成都市,返回|主界面|通知栏|成都市|距离1662|地址成都市四川省成都市青羊区人民东路86号
选择经过加油站的线路,返回|主界面|通知栏|成都市|距离1662|地址成都市四川省成都市青羊区人民东路86号
导航开始吧,返回|主界面|通知栏|成都市|距离1662|地址成都市四川省成都市青羊区人民东路86号
我要去卢集县人民政府,返回|主界面|通知栏|加载中
去安义县乡政府,返回|主界面|通知栏|南昌县人民政府|南昌市澄湖北大道澄碧湖大厦内|进贤县人民政府|南昌市民和路与中山大道交叉口|安义县人民政府|南昌市解放路县政府大院内|溪霞镇人民政府|南昌市溪霞镇|罗亭镇人民政府|南昌市罗亭镇
不是长均乡而是东新乡,返回|主界面|通知栏|乔乐乡政府驻地|南昌市安义县|安义县人民政府|南昌市解放路县政府大院内|安义县政府金融工作办公室|中共安义县委县人民政府信访局|新民乡人民政府|南昌市向坪路1号
走最近的路线,返回|主界面|通知栏|乔乐乡政府驻地|南昌市安义县|安义县人民政府|南昌市解放路县政府大院内|安义县政府金融工作办公室|中共安义县委县人民政府信访局|新民乡人民政府|南昌市向坪路1号
可以导航了,返回|主界面|通知栏|长均乡人民政府|距离25|地址南昌市长均乡
帮我导航到明光市,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
位于广场路68的明光市,返回|主界面|通知栏|明光市|距离1167|地址滁州市安徽省滁州市明光市广场路68
优先走高速,返回|主界面|通知栏|明光市|距离1167|地址滁州市安徽省滁州市明光市广场路68
开始导航,返回|主界面|通知栏|明光市|距离1167|地址滁州市安徽省滁州市明光市广场路68
前往衡山路五三三号,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
去迎宾路一号停车场,返回|主界面|通知栏|路线偏好|距离最短|2小时14分钟|197公里|红绿灯10个|收费90元|方案2|2小时37分钟|226公里|开始导航|缩小图面|放大图面|仅供测试
选择红绿灯最少的路线,返回|主界面|通知栏|停车场一号路|上海城区闵行区|古北壹号停车场|香港丽园一号停车场|上海城区虹口区|停车场十钢一号路|上海城区长宁区|上海城区淮海西路570号
导航,返回|主界面|通知栏|停车场一号路|上海城区闵行区|古北壹号停车场|香港丽园一号停车场|上海城区虹口区|停车场十钢一号路|上海城区长宁区|上海城区淮海西路570号
我想去滨州火车站,返回|主界面|通知栏|路线偏好|距离最短|2小时14分钟|197公里|红绿灯10个|收费90元|方案2|2小时37分钟|226公里|开始导航|缩小图面|放大图面|仅供测试
那就去兴福镇火车站,返回|主界面|通知栏|滨州站|距离844|地址滨州市黄河二十路附近
搜索兴福镇火车站附近的酒店,返回|主界面|通知栏|北郊站|上海城区寿阳路1500|杨浦站|上海城区周家嘴路4041号|庄桥站|宁波市江北区|宁波站|宁波市海曙区|汉川站|孝感市汉川市
选择价格最低的,返回|主界面|通知栏|汉庭海友酒店武昌火车站店|武昌区津水路6号起义门方向|详情下拉图片|武汉福缘百合连锁酒店武昌火车站店|中山路424号万金国际广场1号楼4紫阳东路与中山路交汇处地铁4号线武昌火车站出口|武汉德莫快捷酒店武昌火车站店|武昌区白沙洲大道405号近烽火村公交站|莫泰168武汉汉口火车站发展大道复兴一村店|江汉区发展大道421号发展大道常码头加油站斜对面|武汉尚客优骏怡连锁酒店汉口火车站店|江汉区发展大道汉口火车站金墩街13号城市便捷酒店旁
导航开始吧,返回|主界面|通知栏|汉庭海友酒店武昌火车站店|武昌区津水路6号起义门方向|详情下拉图片|武汉福缘百合连锁酒店武昌火车站店|中山路424号万金国际广场1号楼4紫阳东路与中山路交汇处地铁4号线武昌火车站出口|武汉德莫快捷酒店武昌火车站店|武昌区白沙洲大道405号近烽火村公交站|莫泰168武汉汉口火车站发展大道复兴一村店|江汉区发展大道421号发展大道常码头加油站斜对面|武汉尚客优骏怡连锁酒店汉口火车站店|江汉区发展大道汉口火车站金墩街13号城市便捷酒店旁
导航去南岳,返回|主界面|通知栏|路线偏好|距离最短|2小时14分钟|197公里|红绿灯10个|收费90元|方案2|2小时37分钟|226公里|开始导航|缩小图面|放大图面|仅供测试
就是祝融路69号的南岳区,返回|主界面|通知栏|南岳区|距离1029|地址衡阳市湖南省衡阳市南岳区祝融路69号
选择经过加油站的线路,返回|主界面|通知栏|南岳区|距离1029|地址衡阳市湖南省衡阳市南岳区祝融路69号
可以导航了,返回|主界面|通知栏|南岳区|距离1029|地址衡阳市湖南省衡阳市南岳区祝融路69号
带我去新郑郑王陵博物馆,返回|主界面|通知栏|加载中
位于文化路1的郑王陵博物馆,返回|主界面|通知栏|郑王陵博物馆|距离967|地址郑州市新郑市
走耗时最短的路线,返回|主界面|通知栏|郑王陵博物馆|距离967|地址郑州市新郑市
开始导航,返回|主界面|通知栏|郑王陵博物馆|距离967|地址郑州市新郑市
我要去西南城角,返回|主界面|通知栏|加载中
是城南桥不是城南一桥,返回|主界面|通知栏|路线偏好|时间最短|5小时28分钟|519公里|红绿灯15个|收费255元|方案2|6小时2分钟|564公里|方案3|6小时39分钟|622公里|开始导航|缩小图面|放大图面|仅供测试
搜索城南桥附近的加油站,返回|主界面|通知栏|路线偏好|时间最短|5小时28分钟|519公里|红绿灯15个|收费255元|方案2|6小时2分钟|564公里|方案3|6小时39分钟|622公里|开始导航|缩小图面|放大图面|仅供测试
选择距离近的,返回|主界面|通知栏|巴曹加油站自助站|温州市苍南县|加油站埭金线|加油站龙金大道|金乡旅顺加油站|宜山加油站埭金线|温州市东河路215
导航,返回|主界面|通知栏|巴曹加油站自助站|温州市苍南县|加油站埭金线|加油站龙金大道|金乡旅顺加油站|宜山加油站埭金线|温州市东河路215
帮我导航到凤城,返回|主界面|通知栏|路线偏好|时间最短|5小时28分钟|519公里|红绿灯15个|收费255元|方案2|6小时2分钟|564公里|方案3|6小时39分钟|622公里|开始导航|缩小图面|放大图面|仅供测试
那就去湘西州凤凰古城景区,返回|主界面|通知栏|凤城市|距离1420|地址丹东市辽宁省丹东市凤城市邓铁梅路18号
选择吉首市凤凰古城，不是文化路,返回|主界面|通知栏|湘西州凤凰古城景区|湘西土家族苗族自治州文化路|湘西土家族苗族自治州凤凰县
导航开始吧,返回|主界面|通知栏|湘西州凤凰古城景区|湘西土家族苗族自治州文化路|湘西土家族苗族自治州凤凰县
前往大华公路的康源足浴,返回|主界面|通知栏|路线偏好|时间最短|5小时28分钟|519公里|红绿灯15个|收费255元|方案2|6小时2分钟|564公里|方案3|6小时39分钟|622公里|开始导航|缩小图面|放大图面|仅供测试
位于西城一路的康源足浴城,返回|主界面|通知栏|康源足浴崮山路|上海城区浦东新区|康源足浴红松路|上海城区红松路587
我要走路况好的线路,返回|主界面|通知栏|康源足浴城|距离22|地址上海城区闵行区
可以导航了,返回|主界面|通知栏|康源足浴城|距离22|地址上海城区闵行区
我想去响水汽车站,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
去响水客运站,返回|主界面|通知栏|响水汽车客运站|盐城市双园东路1号|响水县汽车运输有限公司客运站|盐城市黄海路131|响水县捐赠站|盐城市响水县|响水县防疫站|响水昌宇汽车城
那就去城北客运站吧,返回|主界面|通知栏|响水汽车客运站|盐城市双园东路1号|响水县汽车运输有限公司客运站|盐城市黄海路131|响水县捐赠站|盐城市响水县|响水县防疫站|响水汽配供应站
选择红绿灯最少的路线,返回|主界面|通知栏|城北酒楼|温州市昆阳镇人民路九州大厦|永嘉城北加油站|温州市向阳北街|城北口腔科锦湖路|温州市锦湖路108|乐清市城北乡预防保健站|温州市双贤路8
开始导航,返回|主界面|通知栏|城北酒楼|温州市昆阳镇人民路九州大厦|永嘉城北加油站|温州市向阳北街|城北口腔科锦湖路|温州市锦湖路108|乐清市城北乡预防保健站|温州市双贤路8
导航到汶上县第二人民医院全和预防接种门诊,返回|主界面|通知栏|路线偏好|躲避拥堵|5小时51分钟|501公里|红绿灯25个|收费245元|收费较少|5小时59分钟|506公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
就是龙翔路238号的龙翔路238号,返回|主界面|通知栏|汶上县第二人民医院泉河预防接种门诊|距离944|地址济宁市汶上县
是体检中心不是急救中心,返回|主界面|通知栏|汶上县第二人民医院泉河预防接种门诊|距离944|地址济宁市汶上县
走最近的路线,返回|主界面|通知栏|汶上县第二人民医院泉河预防接种门诊|距离944|地址济宁市汶上县
导航,返回|主界面|通知栏|汶上县第二人民医院泉河预防接种门诊|距离944|地址济宁市汶上县
带我去襄阳机场,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
去机场路的机场,返回|主界面|通知栏|襄阳刘集机场|距离413|地址襄阳市刘集
那就去襄阳刘集机场,返回|主界面|通知栏|西安咸阳国际机场|咸阳市底张镇|西安咸阳国际机场1航站楼|咸阳市底张街道西安咸阳国际机场|西安咸阳国际机场2航站楼|咸阳市空港大道|西安咸阳国际机场3航站楼|西安咸阳国际机场2航站楼商务贵宾厅|咸阳市底张街道
导航开始吧,返回|主界面|通知栏|襄阳刘集机场|距离413|地址襄阳市刘集
我要去江都区政府,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
选择扬州市江都区大桥镇政府,返回|主界面|通知栏|扬州市江都区人民政府|扬州市江淮路388号|扬州市江都区人民政府教育督导室|扬州市江都区|宜陵镇人民政府|扬州市文星路|浦头镇人民政府|扬州市浦头镇|武坚镇人民政府|扬州市武坚镇振兴路1号
搜索大桥镇政府附近的酒店,返回|主界面|通知栏|大桥镇人民政府东园路|扬州市大桥镇白沙中路1号|大桥镇|扬州市江都区|中国移动大桥镇南指定专营店|扬州市大桥镇
选择价格最低的,返回|主界面|通知栏|锐思特汽车酒店温州瑞安万松店|温州市安阳街道岭下路3034号|锐思特汽车酒店温州瑞安中通店|温州市万松东路625631
可以导航了,返回|主界面|通知栏|锐思特汽车酒店温州瑞安万松店|温州市安阳街道岭下路3034号|锐思特汽车酒店温州瑞安中通店|温州市万松东路625631
帮我导航到福宝文化城,返回|主界面|通知栏|路线偏好|距离最短|6小时31分钟|606公里|红绿灯11个|收费310元|方案2|6小时54分钟|661公里|方案3|8小时2分钟|746公里|开始导航|缩小图面|放大图面|仅供测试
岛依旁附近的渔文化广场,返回|主界面|通知栏|南诏文化城|大理白族自治州玉局路34号|文化西路|大理白族自治州祥云县|文化村公路|大理白族自治州剑川县|大众文化服务部|大理白族自治州漾濞彝族自治县|翰墨林文化服务|大理白族自治州巍山彝族回族自治县
选择红绿灯最少的路线,返回|主界面|通知栏|南诏文化城|大理白族自治州玉局路34号|文化西路|大理白族自治州祥云县|文化村公路|大理白族自治州剑川县|大众文化服务部|大理白族自治州漾濞彝族自治县|翰墨林文化服务|大理白族自治州巍山彝族回族自治县
开始导航,返回|主界面|通知栏|南诏文化城|大理白族自治州玉局路34号|文化西路|大理白族自治州祥云县|文化村公路|大理白族自治州剑川县|大众文化服务部|大理白族自治州漾濞彝族自治县|翰墨林文化服务|大理白族自治州巍山彝族回族自治县
前往栾城县,返回|主界面|通知栏|路线偏好|距离最短|6小时31分钟|606公里|红绿灯11个|收费310元|方案2|6小时54分钟|661公里|方案3|8小时2分钟|746公里|开始导航|缩小图面|放大图面|仅供测试
位于裕泰路的栾城县,返回|主界面|通知栏|栾城县|距离33|地址石家庄市河北省石家庄市栾城县裕泰路
搜索栾城县附近的景点,返回|主界面|通知栏|栾城县|距离33|地址石家庄市河北省石家庄市栾城县裕泰路
选择免费的,返回|主界面|通知栏|老母祠|石家庄市栾城区|汉府西南门|汉府|汉府东门|宸皈寺
导航,返回|主界面|通知栏|老母祠|石家庄市栾城区|汉府西南门|汉府|汉府东门|宸皈寺
我想去华清园,返回|主界面|通知栏|路线偏好|距离最短|6小时31分钟|606公里|红绿灯11个|收费310元|方案2|6小时54分钟|661公里|方案3|8小时2分钟|746公里|开始导航|缩小图面|放大图面|仅供测试
就是凯旋北路1555弄的大华清水湾花园,返回|主界面|通知栏|兰花清苑|上海城区泽悦路211弄117|兰花清苑东门|乾清园|上海城区沪太路2588弄|华清企业|上海城区昌平路710号静安科技馆|华清名苑|上海城区青云路260
是北门不是南门,返回|主界面|通知栏|大华清水湾花园|上海城区凯旋北路1555弄258号|大华清水湾花园西2门|大华清水湾花园西1门|大华清水湾花园西3门
走最近的线路,返回|主界面|通知栏|大华清水湾花园|上海城区凯旋北路1555弄258号|大华清水湾花园西2门|大华清水湾花园西1门|大华清水湾花园西3门
导航开始吧,返回|主界面|通知栏|大华清水湾花园|距离63|地址上海城区凯旋北路1555弄258号
导航到宣城市江洋港湾假日酒店,返回|主界面|通知栏|缩小图面|放大图面|仅供测试
就是佟公路263的洋江港湾假日酒店,返回|主界面|通知栏|温州锐思特汽车连锁酒店西站店|鹿城区鹿城路139号旅游集散中心对面|详情下拉图片|温州伯特利商务宾馆|鹿城区鹿城路229号|温州众豪连锁酒店水心店|马鞍池西路308号|速8酒店温州将军桥店|鹿城区将军桥路19号|温州皇都宾馆|雪山路勤奋小区3号楼
搜索洋江港湾假日酒店附近的小吃街,返回|主界面|通知栏|温州温商假日酒店一汽店|过境路将军工业区15幢座|详情下拉图片|温州罗玛假日酒店|双屿工业区迪索路9号|温州瑞天假日酒店|龙湾区耐宝路18号近瓯海大道|温州龙港水星假日酒店|温州苍南县龙港镇龙湖路95
选择距离近的,返回|主界面|通知栏|婷婷小吃|温州市新城大道345号6栋104|宏达小吃店|温州市洞头区|瑞祥小吃店|东屏叶记小吃|温州市东屏街道城南路118号|滋味轩成都小吃|温州市中心街202
可以导航了,返回|主界面|通知栏|婷婷小吃|温州市新城大道345号6栋104|宏达小吃店|温州市洞头区|瑞祥小吃店|东屏叶记小吃|温州市东屏街道城南路118号|滋味轩成都小吃|温州市中心街202
带我去国电聊城发电厂,返回|主界面|通知栏|路线偏好|时间最短|5小时10分钟|469公里|红绿灯16个|收费245元|收费较少|5小时23分钟|474公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
去沿兴路附近的电镀厂,返回|主界面|通知栏|虹光机电厂|温州市永嘉县|通达有线电厂|温州市乐清市|中国电信|温州市塘下镇陈宅村广场西路126号|乐清欧阳通用机电厂|固力发电气
是鹿城正园电镀厂而不是明云电镀厂,返回|主界面|通知栏|丰财电镀厂|温州市兴瑞路888|方圆金属电镀厂|温州市永嘉县|鹿城国强电镀厂|温州市沿发路18|乐成新源电镀厂|温州市招贤路22号|鹿城兴业电镀厂|温州市鹿城区
开始导航,返回|主界面|通知栏|丰财电镀厂|温州市兴瑞路888|方圆金属电镀厂|温州市永嘉县|鹿城国强电镀厂|温州市沿发路18|乐成新源电镀厂|温州市招贤路22号|鹿城兴业电镀厂|温州市鹿城区
我要去徐州东站,返回|主界面|通知栏|路线偏好|时间最短|5小时10分钟|469公里|红绿灯16个|收费245元|收费较少|5小时23分钟|474公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
去徐州火车东站,返回|主界面|通知栏|徐州东站|徐州市京台高速与206交叉口|徐州东站西进站口|徐州市京台高速与206交叉口徐州东站
选择西出站口,返回|主界面|通知栏|徐州东站|徐州市京台高速与206交叉口|徐州东站西进站口|徐州市京台高速与206交叉口徐州东站
优先走高速,返回|主界面|通知栏|徐州东站|徐州市京台高速与206交叉口|徐州东站西进站口|徐州市京台高速与206交叉口徐州东站
导航,返回|主界面|通知栏|徐州东站|徐州市京台高速与206交叉口|徐州东站西进站口|徐州市京台高速与206交叉口徐州东站
帮我导航到神州租车斜土路,返回|主界面|通知栏|路线偏好|时间最短|5小时10分钟|469公里|红绿灯16个|收费245元|收费较少|5小时23分钟|474公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
去巨峰路239号的神州租车,返回|主界面|通知栏|神州租车|上海城区浦东新区|神州租车紫阳路|上海城区紫阳路801|神州租车凯进路|上海城区徐汇区|神州租车春晓路|神州租车上大路|上海城区上大路1
我想走走红绿灯最少的线路,返回|主界面|通知栏|神州租车|上海城区浦东新区|神州租车紫阳路|上海城区紫阳路801|神州租车凯进路|上海城区徐汇区|神州租车春晓路|神州租车上大路|上海城区上大路1
导航开始吧,返回|主界面|通知栏|神州租车|上海城区浦东新区|神州租车紫阳路|上海城区紫阳路801|神州租车凯进路|上海城区徐汇区|神州租车春晓路|神州租车上大路|上海城区上大路1
前往川杨新苑涓壠,返回|主界面|通知栏|路线偏好|时间最短|5小时10分钟|469公里|红绿灯16个|收费245元|收费较少|5小时23分钟|474公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
去中科路的川杨新苑,返回|主界面|通知栏|川杨新苑北区|上海城区中科路2195弄153号|川杨新苑二期|上海城区顺和路60弄123|川杨新苑三期|上海城区中科路2635弄|川杨新苑四期|上海城区浦东新区|曹杨新苑|上海城区曹杨路2288弄128号
不是南区，是北区,返回|主界面|通知栏|川杨新苑北区|上海城区中科路2195弄153号|川杨新苑二期|上海城区顺和路60弄123|川杨新苑三期|上海城区中科路2635弄|川杨新苑四期|上海城区浦东新区|曹杨新苑|上海城区曹杨路2288弄128号
不要这条，换条线路吧,返回|主界面|通知栏|川杨新苑北区|上海城区中科路2195弄153号|川杨新苑二期|上海城区顺和路60弄123|川杨新苑三期|上海城区中科路2635弄|川杨新苑四期|上海城区浦东新区|曹杨新苑|上海城区曹杨路2288弄128号
可以导航了,返回|主界面|通知栏|川杨新苑北区|上海城区中科路2195弄153号|川杨新苑二期|上海城区顺和路60弄123|川杨新苑三期|上海城区中科路2635弄|川杨新苑四期|上海城区浦东新区|曹杨新苑|上海城区曹杨路2288弄128号
我想去南门西安市南门,返回|主界面|通知栏|路线偏好|时间最短|5小时10分钟|469公里|红绿灯16个|收费245元|收费较少|5小时23分钟|474公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
选择福兴小区西南门,返回|主界面|通知栏|南门小学|昆明市晋宁县|鑫苑南门|昆明市五华区|金禧园南门|昆明市万华路金禧园|顶秀东南门|昆明市香海路顶秀|白龙寺南门
搜索福兴小区西南门附近的加油站,返回|主界面|通知栏|福兴小区西南门|昆明市官渡区|福兴安置小区西南门|昆明市安宁市|宏兴小区西南门|昆明市金汁路933|丰登小区西南门|昆明市丰登路206|升华小区西南门
选择离我最近的那个,返回|主界面|通知栏|国宾加油站|昆明市官南大道|中坤加油站|昆明市南坝路118号|加油站南坝段|昆明市官渡区|官宝加油站|昆明市宝海路150|腾云加油站|昆明市日新路1165号
开始导航,返回|主界面|通知栏|双龙桥加油站|距离20|地址昆明市环城南路419号
导航到天安门,返回|主界面|通知栏|加载中
位于长安街的天安门广场,返回|主界面|通知栏|天安门|北京城区东长安街|天安门西站西南地铁1号线|北京城区西城区|天安门西站东北口地铁1号线|天安门西站西北口地铁1号线|天安门西站4路37路52路728路10路205路
我要走红绿灯最少的路线,返回|主界面|通知栏|天安门|北京城区东长安街|天安门西站西南地铁1号线|北京城区西城区|天安门西站东北口地铁1号线|天安门西站西北口地铁1号线|天安门西站4路37路52路728路10路205路
导航,返回|主界面|通知栏|天安门|北京城区东长安街|天安门西站西南地铁1号线|北京城区西城区|天安门西站东北口地铁1号线|天安门西站西北口地铁1号线|天安门西站4路37路52路728路10路205路
带我去市立四院,返回|主界面|通知栏|路线偏好|距离最短|22小时30分钟|1922公里|红绿灯12个|收费1140元|方案2|23小时40分钟|2013公里|方案3|1天|2071公里|开始导航|设置车牌避开武汉市外地车限行|缩小图面|放大图面|仅供测试
那就去四海益佳超市,返回|主界面|通知栏|屈臣氏力子园路|广州市中山大道1116号乐都汇1层|中铁四院集团广州地区铁路建设指挥部|广州市共和西路6|中铁四院集团广东省城际轨道交通建设指挥部|中铁四院集团广州设计院有限公司南方铁建大厦西南
搜索四海益佳超市附近的酒店,返回|主界面|通知栏|四海益佳超市|距离73|地址广州市白云区
选择价格最低的,返回|主界面|通知栏|7天酒店广州石井金碧新城店|广州市石井石槎路口金碧西路28号|7天酒店广州石井城市广场店|广州市石井石槎路3号石井城市广场栋|城市便捷酒店广州博大店|广州市石井镇石槎路88号|格林豪泰酒店黄石西路店|广州市黄石西路222号|宜必思酒店顺兴路|广州市黄石西路457459号
导航开始吧,返回|主界面|通知栏|7天酒店广州石井金碧新城店|广州市石井石槎路口金碧西路28号|7天酒店广州石井城市广场店|广州市石井石槎路3号石井城市广场栋|城市便捷酒店广州博大店|广州市石井镇石槎路88号|格林豪泰酒店黄石西路店|广州市黄石西路222号|宜必思酒店顺兴路|广州市黄石西路457459号
我要去永平水泄乡,返回|主界面|通知栏|路线偏好|距离最短|22小时30分钟|1922公里|红绿灯12个|收费1140元|方案2|23小时40分钟|2013公里|方案3|1天|2071公里|开始导航|设置车牌避开武汉市外地车限行|缩小图面|放大图面|仅供测试
是去为民服务中心,返回|主界面|通知栏|水泄乡国土所|大理白族自治州永平县|水泄乡卫生院|水泄乡派出所|水泄乡客运站|中国信合水泄乡信用社
走最近的线路吧,返回|主界面|通知栏|光辉村为民服务中心|上海城区光辉村5566|城南村文体为民服务中心|上海城区青浦区|高桥村为民综合服务中心|上海城区松江区|叙南村为民综合服务中心|市场服务中心|上海城区嘉定区
可以导航了,返回|主界面|通知栏|诺亚尊服务中心|距离14|地址上海城区福州路550
帮我导航到恩施,返回|主界面|通知栏|路线偏好|时间最短|5小时27分钟|477公里|红绿灯29个|收费245元|拥堵较少|5小时43分钟|481公里|开始导航|设置车牌避开上海市外地车限行|缩小图面|放大图面|仅供测试
去许家坪路的机场,返回|主界面|通知栏|恩施市|恩施土家族苗族自治州湖北省恩施土家族苗族自治州恩施市施州大道115号|恩施土家族苗族自治州|恩施土家族苗族自治州湖北省恩施土家族苗族自治州恩施市
选择恩施机场,返回|主界面|通知栏|温州龙湾国际机场|距离22|地址温州市机场大道1号
开始导航,返回|主界面|通知栏|恩施许家坪机场|距离1114|地址恩施土家族苗族自治州许家坪
