用户说法,user_data
来个英文版的,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""默契慢摇"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_2017053116332415"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""默契Remix慢摇"",""itemid"":""10487184"",""artist"":""DJ""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
不想听他唱的，换个人唱的听听,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""默契慢摇"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163328396"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""默契Remix慢摇"",""itemid"":""10487184"",""artist"":""DJ""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
请播放历史我的小丫小苹果,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""默契慢摇"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163331695"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""默契Remix慢摇"",""itemid"":""10487184"",""artist"":""DJ""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
循环播放我的历史歌曲,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""默契慢摇"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_2017053116333524"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""默契Remix慢摇"",""itemid"":""10487184"",""artist"":""DJ""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|默契慢摇|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
播放我的历史歌曲中的轻音乐,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""我的历史"",""搜索歌手"",""萧正楠"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163338420"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""我的历史"",""itemid"":""55675491"",""artist"":""萧正楠""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|我的历史|搜索歌手|萧正楠|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
搜索歌曲那就这样吧,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""我的历史"",""搜索歌手"",""萧正楠"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163341696"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""我的历史"",""itemid"":""55675491"",""artist"":""萧正楠""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|我的历史|搜索歌手|萧正楠|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换下一首歌曲,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""那就这样吧"",""搜索歌手"",""汤川"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163345758"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""那就这样吧"",""itemid"":""58491049"",""artist"":""汤川""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|那就这样吧|搜索歌手|汤川|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
不想听这个人唱的，换个人唱的听听,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""流溪河边的小茅屋"",""搜索歌手"",""刘宇斐"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163349348"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""流溪河边的小茅屋"",""itemid"":""57971341"",""artist"":""刘宇斐""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|流溪河边的小茅屋|搜索歌手|刘宇斐|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
听英文版的那就这样吧,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""流溪河边的小茅屋"",""搜索歌手"",""刘宇斐"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163352551"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""流溪河边的小茅屋"",""itemid"":""57971341"",""artist"":""刘宇斐""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|流溪河边的小茅屋|搜索歌手|刘宇斐|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
不想听英文版的了，换个轻音乐吧,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_2017053116335653"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Roar"",""itemid"":""46961595"",""artist"":""Katy+Perry""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
爱情买卖,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163359354"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Roar"",""itemid"":""46961595"",""artist"":""Katy+Perry""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换个人唱的,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163402544"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Roar"",""itemid"":""46961595"",""artist"":""Katy+Perry""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
DJ版的有吗,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""一个人"",""搜索歌手"",""夏婉安"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163406355"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""一个人"",""itemid"":""4516654"",""artist"":""夏婉安""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|一个人|搜索歌手|夏婉安|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
放个他唱的其他歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163409885"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Hot+'N'+Tot"",""itemid"":""55214696"",""artist"":""Los+Acosta""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
我要听歌儿,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163413196"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Hot+'N'+Tot"",""itemid"":""55214696"",""artist"":""Los+Acosta""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
听英文歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""行走的力量"",""搜索歌手"",""李荣浩"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163417135"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""行走的力量"",""itemid"":""45231691"",""artist"":""李荣浩""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|行走的力量|搜索歌手|李荣浩|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
听Justin Bieber的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163420745"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Someone+Like+You"",""itemid"":""45100079"",""artist"":""Adele""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
有没有他唱的温柔一点的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""搜索歌手"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163424163"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""Someone+Like+You"",""itemid"":""45100079"",""artist"":""Adele""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|搜索歌手|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
播放音乐我可以抱你吗宝贝,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""爱一点"",""搜索歌手"",""王力宏章子怡"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163427634"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""爱一点"",""itemid"":""44803073"",""artist"":""王力宏,章子怡""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|爱一点|搜索歌手|王力宏章子怡|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换个他唱的其他歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""我可以抱你吗"",""搜索歌手"",""张惠妹"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163431319"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""我可以抱你吗"",""itemid"":""7080134"",""artist"":""张惠妹""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|我可以抱你吗|搜索歌手|张惠妹|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
暂停一下,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""听海"",""搜索歌手"",""张惠妹"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163434748"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""听海"",""itemid"":""46761858"",""artist"":""张惠妹""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|听海|搜索歌手|张惠妹|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
帮我收藏这首歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""听海"",""搜索歌手"",""张惠妹"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_2017053116343844"",""musicX::default"":{""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|听海|搜索歌手|张惠妹|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""paused""}}}"
换下一首吧,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""听海"",""搜索歌手"",""张惠妹"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163441381"",""musicX::default"":{""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|听海|搜索歌手|张惠妹|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""paused""}}}"
我想听爱朵唱的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""如果寂寞了"",""搜索歌手"",""阿光"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_2017053116344573"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""如果寂寞了+(Remix)"",""itemid"":""1840876"",""artist"":""阿光""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
声音太大了吧,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""如果寂寞了"",""搜索歌手"",""阿光"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163448472"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""如果寂寞了+(Remix)"",""itemid"":""1840876"",""artist"":""阿光""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
下一曲下一曲,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""如果寂寞了"",""搜索歌手"",""阿光"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163451761"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""如果寂寞了+(Remix)"",""itemid"":""1840876"",""artist"":""阿光""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
收藏这首吧,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""如果寂寞了"",""搜索歌手"",""阿光"",""收藏歌曲"",""上一首"",""暂停"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_2017053116345598"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""如果寂寞了+(Remix)"",""itemid"":""1840876"",""artist"":""阿光""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|暂停|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
歌曲妈妈，我想你,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""如果寂寞了"",""搜索歌手"",""阿光"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163458482"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""如果寂寞了+(Remix)"",""itemid"":""1840876"",""artist"":""阿光""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|如果寂寞了|搜索歌手|阿光|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
换下一首,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""妈妈我想你"",""搜索歌手"",""汤潮"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_201705311635011"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""妈妈我想你"",""itemid"":""8958626"",""artist"":""汤潮""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|妈妈我想你|搜索歌手|汤潮|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
先把歌曲暂停一下,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""媒体库"",""我的收藏"",""最近播放"",""行走的力量"",""搜索歌手"",""李荣浩"",""收藏歌曲"",""上一首"",""播放"",""下一首"",""播放列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163505833"",""musicX::default"":{""data"":{""dataInfo"":{""song"":""行走的力量"",""itemid"":""45231691"",""artist"":""李荣浩""},""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|媒体库|我的收藏|最近播放|行走的力量|搜索歌手|李荣浩|收藏歌曲|上一首|播放|下一首|播放列表""}},""activeStatus"":""fg"",""sceneStatus"":""playing""}}}"
有别的人唱的吗,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""电话"",""电台"",""导航"",""音乐"",""设置"",""应用列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163509158"",""cmd::default"":{""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|电话|电台|导航|音乐|设置|应用列表""}},""activeStatus"":""fg"",""sceneStatus"":""default""},""musicX::default"":{""data"":{},""activeStatus"":""bg"",""sceneStatus"":""paused""}}}"
崔健的歌,"{""HotWords"":[""返回"",""主界面"",""通知栏"",""电话"",""电台"",""导航"",""音乐"",""设置"",""应用列表""],""UserData"":{""serialNo"":""M1AT020102000007_20170531163512367"",""cmd::default"":{""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|电话|电台|导航|音乐|设置|应用列表""}},""activeStatus"":""fg"",""sceneStatus"":""default""},""musicX::default"":{""data"":{},""activeStatus"":""bg"",""sceneStatus"":""paused""}}}"
