nli_text,mode,nli_out_result
这首歌叫什么名字,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""BROADCAST_SONG"",""service"":""musicX""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""这首歌叫什么名字"",""state_winner"":null,""trim_sent"":""这首歌叫什么名字"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""fg"",""sceneStatus"":""paused""},""radio::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142239480"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
音量减小,local,"{""data"":{""result"":null},""demand_semantic"":null,""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""音量减小"",""trim_sent"":""音量减小"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""radio::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142242647"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
打开地图,local,"{""answer"":{""text"":""没有为您找到地图这首歌,换首歌曲试试吧""},""data"":{""result"":null},""demand_semantic"":{""service"":""musicX"",""song"":""地图""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.102"",""org_sent"":""打开地图"",""state_winner"":null,""trim_sent"":""打开地图"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""radio::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_2017122814224661"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
我要去要素大市场,local,"{""answer"":{""text"":""没有为您找到要素大市场请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""要素大市场"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要去要素大市场"",""search_mapU_info"":{""endLoc"":""gaode""},""state_winner"":null,""trim_sent"":""我要去要素大市场"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""musicX::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""radio::default"":{""activeStatus"":""bg"",""sceneStatus"":""paused""},""serialNo"":""AIUI5101000003_20171228142249384"",""viewCmd::default"":{""activeStatus"":""bg"",""data"":{""hotInfo"":{""viewCmd"":"""
第一个,local,"{""data"":{""result"":null},""demand_semantic"":{""operation"":""POS_RANK"",""posRank.direct"":""+"",""posRank.offset"":""一"",""posRank.ref"":""ZERO"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""---"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""第一个"",""state_winner"":null,""trim_sent"":""第一个"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::poiSearch"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
我要走高速,local,"{""data"":{""result"":null},""demand_semantic"":{""routeCondition"":""HIGH_FIRST"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""-----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要走高速"",""state_winner"":null,""trim_sent"":""我要走高速"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""sceneStatus"":""routing""},""mapU::poiSearch"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
不走高速,local,"{""data"":{""result"":null},""demand_semantic"":{""routeCondition"":""NOT_HIGH_FIRST"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""不走高速"",""state_winner"":null,""trim_sent"":""不走高速"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
帮我查一下路况,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""QUERY_TRAFFIC_INFO"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""帮我查一下路况"",""state_winner"":null,""trim_sent"":""帮我查一下路况"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
帮我找一下附近的停车场,local,"{""answer"":{""text"":""没有为您找到停车场请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""停车场"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-----------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""帮我找一下附近的停车场"",""state_winner"":null,""trim_sent"":""帮我找一下附近的停车场"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
第三个,local,"{""data"":{""result"":null},""demand_semantic"":{""operation"":""POS_RANK"",""posRank.direct"":""+"",""posRank.offset"":""三"",""posRank.ref"":""ZERO"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""---"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""第三个"",""state_winner"":null,""trim_sent"":""第三个"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
退出导航,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""CLOSE_MAP"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""退出导航"",""state_winner"":null,""trim_sent"":""退出导航"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
带我去附近的公园,local,"{""answer"":{""text"":""没有为您找到公园请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""公园"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""带我去附近的公园"",""search_mapU_info"":{""endLoc"":""gaode""},""state_winner"":null,""trim_sent"":""带我去附近的公园"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
包河包公园,local,"{""answer"":{""text"":""没有为您找到公园请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""公园"",""keyword.ori_loc"":""包河包公园"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""map_to_keyword_tc"",""multi_service"":null,""nlp_match_info"":""+++++"",""nlp_match_score"":""0.200"",""nlp_score"":""-3.905"",""org_sent"":""包河包公园"",""search_mapU_info"":{""endLoc"":""gaode""},""state_winner"":null,""trim_sent"":""包河包公园"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
返回主页,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""MAINPAGE"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""返回主页"",""state_winner"":null,""trim_sent"":""返回主页"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
三孝口附近有什么好吃的,local,"{""answer"":{""text"":""没有为您找到餐馆请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""餐馆"",""landmark.ori_loc"":""三孝口"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-----------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""三孝口附近有什么好吃的"",""state_winner"":null,""trim_sent"":""三孝口附近有什么好吃的"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
我要吃庐州太太,local,"{""answer"":{""text"":""没有为您找到庐州太太请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""庐州太太"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""-------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要吃庐州太太"",""search_mapU_info"":{""endLoc"":""gaode""},""state_winner"":null,""trim_sent"":""我要吃庐州太太"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
庐州太太,local,"{""extra"":{""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
帮我换一条不堵车的路线,local,"{""data"":{""result"":null},""demand_semantic"":{""routeCondition"":""AVOID_ROUND"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-----------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""帮我换一条不堵车的路线"",""state_winner"":null,""trim_sent"":""帮我换一条不堵车的路线"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
我要走高速,local,"{""data"":{""result"":null},""demand_semantic"":{""routeCondition"":""HIGH_FIRST"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""-----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要走高速"",""state_winner"":null,""trim_sent"":""我要走高速"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""fg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
庐州太太附近有停车的地方吗,local,"{""answer"":{""text"":""没有为您找到停车请重新输入目的地""},""data"":{""result"":null},""demand_semantic"":{""endLoc.ori_loc"":""停车"",""landmark.ori_loc"":""庐州太太"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""---------####"",""nlp_match_score"":""0.692"",""nlp_score"":""-3.999"",""org_sent"":""庐州太太附近有停车的地方吗"",""state_winner"":null,""trim_sent"":""庐州太太附近有停车的地方吗"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
下一页,local,"{""data"":{""result"":null},""demand_semantic"":{""operation"":""PAGE_RANK"",""pageRank.direct"":""++"",""pageRank.offset"":""一"",""pageRank.ref"":""ZERO"",""service"":""mapU""},""extra"":{""data_finded_match"":false,""match_gram"":""map_common_tc"",""multi_service"":null,""nlp_match_info"":""---"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""下一页"",""state_winner"":null,""trim_sent"":""下一页"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
关闭,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""CLOSE"",""service"":""mapU""},""dialog_stat"":""DataValid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""关闭"",""state_winner"":null,""trim_sent"":""关闭"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
我要听音乐广播,local,"{""answer"":{""text"":""播放收音机的音乐电台""},""data"":{""result"":null},""demand_semantic"":{""category"":""音乐"",""nameOrig"":""音乐广播"",""operation"":""LAUNCH"",""service"":""radio""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要听音乐广播"",""state_winner"":null,""trim_sent"":""我要听音乐广播"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
我要听安徽音乐广播,local,"{""answer"":{""text"":""播放安徽音乐广播""},""data"":{""result"":null},""demand_semantic"":{""name"":""安徽音乐广播"",""nameOrig"":""安徽音乐广播"",""operation"":""LAUNCH"",""service"":""radio""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""---------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""我要听安徽音乐广播"",""state_winner"":null,""trim_sent"":""我要听安徽音乐广播"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
关小一点,local,"{""data"":{""result"":null},""demand_semantic"":null,""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""关小一点"",""trim_sent"":""关小一点"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
打电话给我爸爸,local,"{""answer"":{""text"":""没有为您找到爸爸.请确认要拨打的联系人""},""data"":{""result"":null},""demand_semantic"":{""name"":""爸爸"",""operation"":""DIAL"",""service"":""telephone""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""-------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.012"",""org_sent"":""打电话给我爸爸"",""state_winner"":null,""trim_sent"":""打电话给我爸爸"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
关闭,local,"{""data"":{""result"":null},""demand_semantic"":null,""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":""true"",""nlp_match_info"":""--"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""关闭"",""trim_sent"":""关闭"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
打电话给10000号,local,"{""answer"":{""text"":""好的，即将呼叫10000""},""data"":{""result"":[{""name"":""中国电信客服"",""phoneNumber"":""10000"",""type"":""ServiceNum""}]},""demand_semantic"":{""code"":""10000"",""operation"":""DIAL"",""service"":""telephone""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""----------"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""打电话给10000号"",""state_winner"":null,""trim_sent"":""打电话给10000号"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""fg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
挂掉,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""HANGUP"",""operation"":""INSTRUCTION"",""service"":""telephone""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""挂掉"",""state_winner"":null,""trim_sent"":""挂掉"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
挂机,local,"{""data"":{""result"":null},""demand_semantic"":{""insType"":""HANGUP"",""operation"":""INSTRUCTION"",""service"":""telephone""},""dialog_stat"":""dataInvalid"",""extra"":{""data_finded_match"":false,""match_gram"":""general_gram"",""multi_service"":null,""nlp_match_info"":""--"",""nlp_match_score"":""1.000"",""nlp_score"":""0.000"",""org_sent"":""挂机"",""state_winner"":null,""trim_sent"":""挂机"",""used_hist_depth"":0,""user_data"":{""cmd::default"":{""activeStatus"":""bg"",""sceneStatus"":""default""},""mapU::navi"":{""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""address"":"""
